"IDE_VENTA","IDE_PEDIDO","IDE_CLIENTE","IDE_FECHA","IDE_PRODUCTO","IDE_VENDEDOR","NUM_PRECIO_NETO"
1568,15265,5260,"2014-08-18","PRO11",2,342.0
1567,15263,5258,"2014-07-20","PRO11",2,142.0
1566,15261,5256,"2014-09-03","PRO11",2,121.0
1565,15260,5255,"2014-08-17","PRO11",2,128.0
1564,15259,5254,"2014-08-22","PRO11",2,541.0
1563,15248,5243,"2014-09-19","PRO11",2,119.0
1562,15247,5242,"2014-10-23","PRO11",2,260.0
1561,15244,5239,"2014-10-19","PRO11",2,313.0
1560,15242,5237,"2014-07-22","PRO11",2,590.0
1559,15241,5236,"2014-09-23","PRO11",2,135.0
1558,15236,5231,"2014-07-18","PRO11",2,218.0
1557,15235,5230,"2014-07-16","PRO11",2,113.0
1556,15234,5229,"2014-10-24","PRO11",2,217.0
1555,15231,5226,"2014-10-08","PRO11",2,144.0
1554,15230,5225,"2014-08-11","PRO11",2,217.0
1553,15229,5224,"2014-09-02","PRO11",2,80.0
1552,15227,5222,"2014-10-05","PRO11",2,230.0
1551,15226,5221,"2014-09-10","PRO11",2,225.0
1550,15219,5214,"2014-07-19","PRO11",2,179.0
1549,15213,5208,"2014-09-07","PRO11",2,142.0
1548,15212,5207,"2014-09-26","PRO11",2,612.0
1547,15210,5205,"2014-07-19","PRO11",2,96.0
1546,15205,5200,"2014-08-12","PRO11",2,249.0
1545,15201,5196,"2014-07-21","PRO11",2,121.0
1544,15200,5195,"2014-07-25","PRO11",2,135.0
1543,15199,5194,"2014-10-04","PRO11",2,142.0
1542,15195,5190,"2014-09-07","PRO11",2,101.0
1541,15194,5189,"2014-08-08","PRO11",2,146.0
1540,15193,5188,"2014-10-11","PRO11",2,155.0
1539,15192,5187,"2014-07-20","PRO11",2,130.0
1538,15190,5185,"2014-08-02","PRO11",2,150.0
1537,15188,5183,"2014-09-01","PRO11",2,153.0
1536,15187,5182,"2014-09-02","PRO11",2,121.0
1535,15177,5172,"2014-08-23","PRO11",2,78.0
1534,15176,5171,"2014-09-09","PRO11",2,156.0
1533,15175,5170,"2014-08-31","PRO11",2,171.0
1532,15169,5164,"2014-09-18","PRO11",2,116.0
1531,15167,5162,"2014-08-16","PRO11",2,101.0
1530,15165,5160,"2014-09-24","PRO11",2,263.0
1529,15162,5157,"2014-09-24","PRO11",2,232.0
1528,15158,5153,"2014-09-15","PRO11",2,116.0
1527,15156,5151,"2014-09-12","PRO11",2,236.0
1526,15154,5149,"2014-09-24","PRO11",2,161.0
1525,15152,5147,"2014-10-10","PRO11",2,207.0
1524,15148,5143,"2014-09-18","PRO11",2,144.0
1523,15142,5137,"2014-07-25","PRO11",2,90.0
1522,15138,5133,"2014-08-25","PRO11",1,153.0
1521,15135,5130,"2014-09-23","PRO11",1,323.0
1520,15134,5129,"2014-09-07","PRO11",1,147.0
1519,15132,5127,"2014-08-21","PRO11",1,247.0
1518,15130,5125,"2014-07-31","PRO11",1,159.0
1517,15116,5111,"2014-08-20","PRO11",1,75.0
1516,15115,5110,"2014-09-21","PRO11",1,150.0
1515,15114,5109,"2014-09-20","PRO11",1,307.0
1514,15109,5104,"2014-08-19","PRO11",1,119.0
1513,15099,5094,"2014-09-27","PRO11",1,153.0
1512,15098,5093,"2014-08-19","PRO11",1,400.0
1511,15097,5092,"2014-10-23","PRO11",1,167.0
1510,15089,5084,"2014-07-24","PRO11",1,164.0
1509,15080,5075,"2014-10-22","PRO11",1,94.0
1508,15078,5073,"2014-07-26","PRO11",1,283.0
1507,15075,5070,"2014-08-27","PRO11",1,137.0
1506,15074,5069,"2014-08-08","PRO11",1,328.0
1505,15073,5068,"2014-09-12","PRO11",1,88.0
1504,15072,5067,"2014-09-09","PRO11",1,550.0
1503,15068,5063,"2014-09-03","PRO11",1,221.0
1502,15066,5061,"2014-08-17","PRO11",1,124.0
1501,15063,5058,"2014-08-06","PRO11",1,200.0
1500,15055,5050,"2014-09-24","PRO11",1,581.0
1499,15045,5040,"2014-08-10","PRO11",1,84.0
1498,15041,5036,"2014-08-04","PRO11",1,124.0
1497,15035,5030,"2014-08-03","PRO11",1,293.0
1496,15031,5026,"2014-09-12","PRO11",1,120.0
1495,15027,5022,"2014-09-03","PRO11",1,307.0
1494,15026,5021,"2014-10-13","PRO11",1,169.0
1493,15025,5020,"2014-09-20","PRO11",1,81.0
1492,15019,5014,"2014-09-18","PRO11",1,96.0
1491,15018,5013,"2014-08-01","PRO11",1,126.0
1490,15014,5009,"2014-09-20","PRO11",1,102.0
1489,15013,5008,"2014-09-14","PRO11",1,218.0
1488,15010,5005,"2014-10-18","PRO11",1,104.0
1487,15009,5004,"2014-09-11","PRO11",1,143.0
1486,15002,4997,"2014-08-24","PRO11",1,226.0
1485,14994,4989,"2014-07-17","PRO11",1,78.0
1484,14992,4987,"2014-07-17","PRO11",1,154.0
1483,14985,4980,"2014-10-19","PRO11",1,571.0
1482,14979,4974,"2014-07-25","PRO11",1,81.0
1481,14973,4968,"2014-10-01","PRO11",1,264.0
1480,14970,4965,"2014-07-28","PRO11",1,249.0
1479,14967,4962,"2014-08-16","PRO11",1,97.0
1478,14965,4960,"2014-07-26","PRO11",1,76.0
1477,14964,4959,"2014-08-11","PRO11",1,148.0
1476,14959,4954,"2014-09-30","PRO11",1,270.0
1475,14955,4950,"2014-07-21","PRO11",1,179.0
1474,14953,4948,"2014-10-15","PRO11",1,192.0
1473,14948,4943,"2014-10-08","PRO11",1,241.0
1472,14941,4936,"2014-09-03","PRO11",1,405.0
1471,14931,4926,"2014-08-07","PRO11",1,131.0
1470,14930,4925,"2014-10-11","PRO11",2,92.0
1469,14926,4921,"2014-08-06","PRO11",2,129.0
1468,14919,4914,"2014-08-15","PRO11",2,77.0
1467,14906,4901,"2014-08-17","PRO11",2,153.0
1466,14904,4899,"2014-09-05","PRO11",2,147.0
1465,14903,4898,"2014-09-19","PRO11",2,108.0
1464,14901,4896,"2014-10-11","PRO11",2,178.0
1463,14898,4893,"2014-09-30","PRO11",2,328.0
1462,14883,4878,"2014-08-01","PRO11",2,256.0
1461,14875,4870,"2014-08-18","PRO11",2,91.0
1460,14873,4868,"2014-08-06","PRO11",2,124.0
1459,14871,4866,"2014-09-27","PRO11",2,302.0
1458,14864,4859,"2014-09-11","PRO11",2,79.0
1457,14858,4853,"2014-09-12","PRO11",2,205.0
1456,14857,4852,"2014-08-23","PRO11",2,171.0
1455,14856,4851,"2014-10-02","PRO11",2,88.0
1454,14852,4847,"2014-08-28","PRO11",2,174.0
1453,14846,4841,"2014-08-05","PRO11",2,117.0
1452,14845,4840,"2014-09-03","PRO11",2,82.0
1451,14843,4838,"2014-09-18","PRO11",2,169.0
1450,14842,4837,"2014-07-19","PRO11",2,83.0
1449,14835,4830,"2014-08-11","PRO11",2,116.0
1448,14834,4829,"2014-07-29","PRO11",2,110.0
1447,14825,4820,"2014-08-04","PRO11",2,301.0
1446,14823,4818,"2014-07-30","PRO11",2,100.0
1445,14822,4817,"2014-08-04","PRO11",2,422.0
1444,14821,4816,"2014-10-18","PRO11",1,100.0
1443,14819,4814,"2014-08-27","PRO11",1,272.0
1442,14818,4813,"2014-08-26","PRO11",1,198.0
1441,14816,4811,"2014-08-30","PRO11",1,97.0
1440,14815,4810,"2014-09-10","PRO11",1,220.0
1439,14809,4804,"2014-10-15","PRO11",1,102.0
1438,14806,4801,"2014-10-17","PRO11",1,137.0
1437,14805,4800,"2014-08-25","PRO11",1,245.0
1436,14802,4797,"2014-08-31","PRO11",1,207.0
1435,14794,4789,"2014-08-31","PRO11",1,103.0
1434,14786,4781,"2014-08-10","PRO11",1,330.0
1433,14785,4780,"2014-09-16","PRO11",1,127.0
1432,14778,4773,"2014-09-24","PRO11",1,138.0
1431,14776,4771,"2014-08-19","PRO11",1,272.0
1430,14775,4770,"2014-10-22","PRO11",1,130.0
1429,14774,4769,"2014-08-04","PRO11",1,131.0
1428,14769,4764,"2014-07-30","PRO11",1,103.0
1427,14767,4762,"2014-08-26","PRO11",1,319.0
1426,14763,4758,"2014-10-02","PRO11",1,84.0
1425,14761,4756,"2014-09-15","PRO11",1,196.0
1424,14758,4753,"2014-10-21","PRO11",1,79.0
1423,14749,4744,"2014-09-25","PRO11",1,193.0
1422,14746,4741,"2014-08-01","PRO11",1,136.0
1421,14745,4740,"2014-09-05","PRO11",1,577.0
1420,14742,4737,"2014-10-19","PRO11",1,83.0
1419,14733,4728,"2014-07-22","PRO11",3,139.0
1418,14731,4726,"2014-08-10","PRO11",3,306.0
1417,14727,4722,"2014-10-13","PRO11",3,139.0
1416,14726,4721,"2014-08-11","PRO11",3,102.0
1415,14724,4719,"2014-07-18","PRO11",3,111.0
1414,14723,4718,"2014-10-12","PRO11",3,151.0
1413,14721,4716,"2014-09-23","PRO11",3,112.0
1412,14715,4710,"2014-08-05","PRO11",3,119.0
1411,14711,4706,"2014-09-19","PRO11",3,111.0
1410,14708,4703,"2014-09-02","PRO11",3,308.0
1409,14704,4699,"2014-07-30","PRO11",3,80.0
1408,14701,4696,"2014-09-12","PRO11",3,281.0
1407,14699,4694,"2014-10-20","PRO11",3,133.0
1406,14697,4692,"2014-09-06","PRO11",3,140.0
1405,14695,4690,"2014-08-28","PRO11",3,146.0
1404,14694,4689,"2014-07-29","PRO11",3,481.0
1403,14693,4688,"2014-07-23","PRO11",3,173.0
1402,14692,4687,"2014-07-24","PRO11",3,205.0
1401,14691,4686,"2014-10-01","PRO11",3,124.0
1400,14686,4681,"2014-09-19","PRO11",3,131.0
1399,14684,4679,"2014-09-27","PRO11",3,243.0
1398,14683,4678,"2014-08-08","PRO11",3,217.0
1397,14681,4676,"2014-09-04","PRO11",3,162.0
1396,14679,4674,"2014-09-23","PRO11",3,86.0
1395,14670,4665,"2014-10-04","PRO11",3,94.0
1394,14666,4661,"2014-10-14","PRO11",3,87.0
1393,14659,4654,"2014-10-18","PRO11",1,251.0
1392,14656,4651,"2014-08-25","PRO11",1,157.0
1391,14644,4639,"2014-08-28","PRO11",1,93.0
1390,14640,4635,"2014-09-25","PRO11",1,509.0
1389,14638,4633,"2014-07-17","PRO11",1,464.0
1388,14631,4626,"2014-08-07","PRO11",1,227.0
1387,14630,4625,"2014-09-09","PRO11",1,202.0
1386,14628,4623,"2014-10-02","PRO11",1,148.0
1385,14622,4617,"2014-10-20","PRO11",1,223.0
1384,14621,4616,"2014-10-06","PRO11",1,248.0
1383,14617,4612,"2014-08-14","PRO11",1,105.0
1382,14612,4607,"2014-09-07","PRO11",1,98.0
1381,14609,4604,"2014-08-02","PRO11",1,125.0
1380,14608,4603,"2014-10-12","PRO11",1,241.0
1379,14598,4593,"2014-10-18","PRO11",1,189.0
1378,14597,4592,"2014-08-17","PRO11",1,76.0
1377,14592,4587,"2014-10-16","PRO11",1,89.0
1376,14591,4586,"2014-08-29","PRO11",1,132.0
1375,14590,4585,"2014-07-26","PRO11",1,216.0
1374,14587,4582,"2014-10-01","PRO11",1,103.0
1373,14586,4581,"2014-07-22","PRO11",1,81.0
1372,14585,4580,"2014-09-05","PRO11",1,199.0
1371,14583,4578,"2014-09-20","PRO11",1,342.0
1370,14582,4577,"2014-09-14","PRO11",1,220.0
1369,14578,4573,"2014-10-12","PRO11",1,278.0
1368,14572,4567,"2014-07-16","PRO11",1,182.0
1367,14569,4564,"2014-09-07","PRO11",1,209.0
1366,14566,4561,"2014-07-24","PRO11",1,86.0
1365,14565,4560,"2014-07-22","PRO11",1,183.0
1364,14555,4550,"2014-08-12","PRO11",1,149.0
1363,14550,4545,"2014-10-02","PRO11",1,75.0
1362,14546,4541,"2014-09-20","PRO11",1,118.0
1361,14535,4530,"2014-09-04","PRO11",1,308.0
1360,14534,4529,"2014-07-22","PRO11",1,131.0
1359,14531,4526,"2014-08-15","PRO11",1,122.0
1358,14530,4525,"2014-09-23","PRO11",1,125.0
1357,14529,4524,"2014-07-21","PRO11",1,87.0
1356,14526,4521,"2014-09-08","PRO11",1,131.0
1355,14525,4520,"2014-08-09","PRO11",1,322.0
1354,14523,4518,"2014-10-09","PRO11",1,89.0
1353,14515,4510,"2014-07-24","PRO11",1,180.0
1352,14514,4509,"2014-10-09","PRO11",1,121.0
1351,14513,4508,"2014-07-22","PRO11",1,161.0
1350,14512,4507,"2014-07-31","PRO11",1,104.0
1349,14505,4500,"2014-07-23","PRO11",1,353.0
1348,14503,4498,"2014-08-28","PRO11",1,196.0
1347,14502,4497,"2014-10-13","PRO11",1,146.0
1346,14480,4475,"2014-08-20","PRO11",1,110.0
1345,14471,4466,"2014-10-15","PRO11",1,135.0
1344,14464,4459,"2014-08-11","PRO11",3,166.0
1343,14450,4445,"2014-10-19","PRO11",3,83.0
1342,14449,4444,"2014-09-19","PRO11",3,294.0
1341,14448,4443,"2014-07-27","PRO11",3,119.0
1340,14447,4442,"2014-09-16","PRO11",3,79.0
1339,14444,4439,"2014-08-26","PRO11",3,99.0
1338,14442,4437,"2014-08-31","PRO11",3,246.0
1337,14440,4435,"2014-10-04","PRO11",3,157.0
1336,14437,4432,"2014-10-21","PRO11",3,178.0
1335,14433,4428,"2014-08-08","PRO11",3,132.0
1334,14428,4423,"2014-08-22","PRO11",3,189.0
1333,14423,4418,"2014-08-27","PRO11",3,312.0
1332,14421,4416,"2014-09-08","PRO11",3,106.0
1331,14420,4415,"2014-08-01","PRO11",3,194.0
1330,14418,4413,"2014-08-17","PRO11",3,160.0
1329,14417,4412,"2014-09-27","PRO11",3,153.0
1328,14416,4411,"2014-10-01","PRO11",3,427.0
1327,14410,4405,"2014-08-08","PRO11",3,84.0
1326,14408,4403,"2014-07-21","PRO11",3,351.0
1325,14405,4400,"2014-10-22","PRO11",3,79.0
1324,14390,4385,"2014-08-26","PRO11",3,134.0
1323,14385,4380,"2014-09-23","PRO11",3,120.0
1322,14379,4374,"2014-08-28","PRO11",3,258.0
1321,14377,4372,"2014-10-12","PRO11",3,113.0
1320,14376,4371,"2014-09-27","PRO11",3,194.0
1319,14373,4368,"2014-09-29","PRO11",3,167.0
1318,14361,4356,"2014-10-23","PRO11",3,140.0
1317,14358,4353,"2014-09-14","PRO11",3,78.0
1316,14356,4351,"2014-09-23","PRO11",3,200.0
1315,14351,4346,"2014-07-22","PRO11",3,106.0
1314,14350,4345,"2014-10-09","PRO11",3,255.0
1313,14348,4343,"2014-09-04","PRO11",3,253.0
1312,14345,4340,"2014-09-09","PRO11",3,428.0
1311,14342,4337,"2014-09-23","PRO11",3,170.0
1310,14341,4336,"2014-08-26","PRO11",3,294.0
1309,14340,4335,"2014-10-02","PRO11",3,102.0
1308,14339,4334,"2014-10-08","PRO11",3,102.0
1307,14337,4332,"2014-09-15","PRO11",3,92.0
1306,14334,4329,"2014-10-09","PRO11",3,126.0
1305,14330,4325,"2014-07-22","PRO11",3,345.0
1304,14323,4318,"2014-08-19","PRO11",3,330.0
1303,14319,4314,"2014-08-13","PRO11",3,400.0
1302,14317,4312,"2014-10-05","PRO11",1,292.0
1301,14316,4311,"2014-10-08","PRO11",1,96.0
1300,14313,4308,"2014-08-22","PRO11",1,172.0
1299,14311,4306,"2014-07-18","PRO11",1,148.0
1298,14307,4302,"2014-10-15","PRO11",1,187.0
1297,14304,4299,"2014-08-28","PRO11",1,94.0
1296,14295,4290,"2014-08-07","PRO11",1,216.0
1295,14294,4289,"2014-09-29","PRO11",1,81.0
1294,14289,4284,"2014-08-18","PRO11",1,121.0
1293,14288,4283,"2014-08-25","PRO11",1,251.0
1292,14286,4281,"2014-08-08","PRO11",1,215.0
1291,14285,4280,"2014-10-22","PRO11",1,102.0
1290,14284,4279,"2014-10-13","PRO11",1,402.0
1289,14283,4278,"2014-08-01","PRO11",1,98.0
1288,14282,4277,"2014-09-17","PRO11",1,166.0
1287,14279,4274,"2014-08-17","PRO11",1,270.0
1286,14275,4270,"2014-07-17","PRO11",1,381.0
1285,14274,4269,"2014-08-26","PRO11",1,184.0
1284,14273,4268,"2014-08-19","PRO11",1,185.0
1283,14269,4264,"2014-10-20","PRO11",1,161.0
1282,14258,4253,"2014-07-21","PRO11",1,277.0
1281,14252,4247,"2014-10-14","PRO11",1,82.0
1280,14251,4246,"2014-08-25","PRO11",1,194.0
1279,14245,4240,"2014-07-24","PRO11",1,230.0
1278,14240,4235,"2014-10-16","PRO11",1,114.0
1277,14238,4233,"2014-07-31","PRO11",3,127.0
1276,14234,4229,"2014-10-15","PRO11",3,75.0
1275,14228,4223,"2014-07-30","PRO11",3,122.0
1274,14227,4222,"2014-09-22","PRO11",3,196.0
1273,14225,4220,"2014-10-17","PRO11",3,188.0
1272,14223,4218,"2014-09-19","PRO11",3,194.0
1271,14221,4216,"2014-09-26","PRO11",3,259.0
1270,14220,4215,"2014-08-27","PRO11",3,205.0
1269,14215,4210,"2014-08-02","PRO11",3,96.0
1268,14213,4208,"2014-09-30","PRO11",3,97.0
1267,14210,4205,"2014-10-16","PRO11",3,89.0
1266,14201,4196,"2014-10-04","PRO11",3,106.0
1265,14198,4193,"2014-08-07","PRO11",3,144.0
1264,14195,4190,"2014-10-19","PRO11",3,98.0
1263,14188,4183,"2014-07-26","PRO11",3,221.0
1262,14181,4176,"2014-09-29","PRO11",3,333.0
1261,14177,4172,"2014-10-08","PRO11",3,151.0
1260,14176,4171,"2014-08-01","PRO11",3,449.0
1259,14171,4166,"2014-08-23","PRO11",3,341.0
1258,14170,4165,"2014-07-20","PRO11",3,79.0
1257,14169,4164,"2014-08-12","PRO11",3,204.0
1256,14168,4163,"2014-10-01","PRO11",3,170.0
1255,14166,4161,"2014-10-09","PRO11",3,304.0
1254,14160,4155,"2014-10-22","PRO11",3,273.0
1253,14159,4154,"2014-10-04","PRO11",3,121.0
1252,14152,4147,"2014-08-13","PRO11",3,219.0
1251,14148,4143,"2014-10-23","PRO11",1,126.0
1250,14146,4141,"2014-08-06","PRO11",1,109.0
1249,14145,4140,"2014-09-12","PRO11",1,118.0
1248,14143,4138,"2014-08-03","PRO11",1,194.0
1247,14132,4127,"2014-07-20","PRO11",1,95.0
1246,14128,4123,"2014-08-27","PRO11",1,161.0
1245,14127,4122,"2014-07-23","PRO11",1,109.0
1244,14124,4119,"2014-09-13","PRO11",3,119.0
1243,14123,4118,"2014-09-26","PRO11",3,82.0
1242,14122,4117,"2014-10-24","PRO11",3,98.0
1241,14120,4115,"2014-10-17","PRO11",3,229.0
1240,14119,4114,"2014-10-20","PRO11",3,76.0
1239,14117,4112,"2014-09-04","PRO11",3,285.0
1238,14114,4109,"2014-08-18","PRO11",3,232.0
1237,14111,4106,"2014-09-03","PRO11",3,99.0
1236,14106,4101,"2014-08-22","PRO11",3,123.0
1235,14102,4097,"2014-08-11","PRO11",3,410.0
1234,14089,4084,"2014-09-25","PRO11",3,205.0
1233,14085,4080,"2014-09-28","PRO11",3,313.0
1232,14084,4079,"2014-09-19","PRO11",3,103.0
1231,14076,4071,"2014-07-30","PRO11",3,111.0
1230,14068,4063,"2014-09-19","PRO11",3,75.0
1229,14062,4057,"2014-09-12","PRO11",3,500.0
1228,14054,4049,"2014-09-03","PRO11",3,177.0
1227,14050,4045,"2014-10-12","PRO11",3,107.0
1226,14046,4041,"2014-09-22","PRO11",3,260.0
1225,14044,4039,"2014-08-27","PRO11",3,174.0
1224,14043,4038,"2014-09-17","PRO11",3,144.0
1223,14037,4032,"2014-07-20","PRO11",3,242.0
1222,14030,4025,"2014-08-18","PRO11",3,225.0
1221,14023,4018,"2014-10-09","PRO11",3,95.0
1220,14021,4016,"2014-08-30","PRO11",3,193.0
1219,14020,4015,"2014-08-12","PRO11",3,403.0
1218,14017,4012,"2014-09-26","PRO11",1,146.0
1217,14016,4011,"2014-10-12","PRO11",1,78.0
1216,14012,4007,"2014-07-28","PRO11",1,368.0
1215,14010,4005,"2014-09-18","PRO11",1,79.0
1214,14008,4003,"2014-10-01","PRO11",1,553.0
1213,14006,4001,"2014-08-19","PRO11",1,96.0
1212,14000,3995,"2014-09-06","PRO11",1,95.0
1211,13999,3994,"2014-09-20","PRO11",1,91.0
1210,13995,3990,"2014-08-25","PRO11",1,79.0
1209,13993,3988,"2014-08-30","PRO11",1,192.0
1208,13991,3986,"2014-07-30","PRO11",1,224.0
1207,13989,3984,"2014-10-03","PRO11",1,147.0
1206,13984,3979,"2014-10-20","PRO11",1,115.0
1205,13983,3978,"2014-07-31","PRO11",1,85.0
1204,13979,3974,"2014-10-10","PRO11",1,102.0
1203,13978,3973,"2014-08-26","PRO11",1,209.0
1202,13975,3970,"2014-07-16","PRO11",1,83.0
1201,13971,3966,"2014-09-22","PRO11",1,416.0
1200,13967,3962,"2014-09-06","PRO11",1,123.0
1199,13962,3957,"2014-08-10","PRO11",1,272.0
1198,13961,3956,"2014-07-28","PRO11",1,142.0
1197,13960,3955,"2014-07-27","PRO11",1,126.0
1196,13957,3952,"2014-09-28","PRO11",1,189.0
1195,13951,3946,"2014-08-12","PRO11",1,172.0
1194,13950,3945,"2014-08-31","PRO11",1,116.0
1193,13946,3941,"2014-09-11","PRO11",1,119.0
1192,13941,3936,"2014-08-24","PRO11",1,210.0
1191,13936,3931,"2014-08-17","PRO11",1,229.0
1190,13933,3928,"2014-09-16","PRO11",1,211.0
1189,13931,3926,"2014-08-15","PRO11",1,128.0
1188,13922,3917,"2014-07-21","PRO11",1,134.0
1187,13917,3912,"2014-07-24","PRO11",1,146.0
1186,13916,3911,"2014-07-20","PRO11",1,148.0
1185,13915,3910,"2014-07-20","PRO11",1,508.0
1184,13906,3901,"2014-07-31","PRO11",1,154.0
1183,13902,3897,"2014-08-16","PRO11",1,90.0
1182,13899,3894,"2014-08-31","PRO11",1,286.0
1181,13898,3893,"2014-10-15","PRO11",5,94.0
1180,13896,3891,"2014-08-27","PRO11",5,192.0
1179,13895,3890,"2014-07-18","PRO11",5,192.0
1178,13890,3885,"2014-08-09","PRO11",5,115.0
1177,13888,3883,"2014-08-14","PRO11",5,131.0
1176,13884,3879,"2014-09-03","PRO11",5,112.0
1175,13882,3877,"2014-08-08","PRO11",5,81.0
1174,13877,3872,"2014-08-12","PRO11",5,156.0
1173,13872,3867,"2014-10-21","PRO11",5,431.0
1172,13870,3865,"2014-08-13","PRO11",5,429.0
1171,13867,3862,"2014-08-06","PRO11",5,364.0
1170,13866,3861,"2014-09-17","PRO11",5,96.0
1169,13862,3857,"2014-08-29","PRO11",5,146.0
1168,13861,3856,"2014-09-20","PRO11",5,142.0
1167,13858,3853,"2014-10-12","PRO11",5,231.0
1166,13851,3846,"2014-08-19","PRO11",5,251.0
1165,13848,3843,"2014-09-08","PRO11",5,110.0
1164,13847,3842,"2014-08-01","PRO11",5,109.0
1163,13846,3841,"2014-09-29","PRO11",5,186.0
1162,13845,3840,"2014-09-08","PRO11",5,116.0
1161,13843,3838,"2014-09-21","PRO11",5,202.0
1160,13838,3833,"2014-08-21","PRO11",5,271.0
1159,13834,3829,"2014-10-21","PRO11",5,78.0
1158,13831,3826,"2014-10-19","PRO11",5,184.0
1157,13829,3824,"2014-10-02","PRO11",5,108.0
1156,13826,3821,"2014-08-12","PRO11",5,189.0
1155,13825,3820,"2014-09-22","PRO11",1,90.0
1154,13819,3814,"2014-08-17","PRO11",1,87.0
1153,13816,3811,"2014-10-20","PRO11",1,244.0
1152,13811,3806,"2014-10-01","PRO11",1,427.0
1151,13809,3804,"2014-09-10","PRO11",1,84.0
1150,13804,3799,"2014-07-20","PRO11",1,101.0
1149,13801,3796,"2014-09-25","PRO11",1,118.0
1148,13799,3794,"2014-09-15","PRO11",1,97.0
1147,13797,3792,"2014-10-23","PRO11",1,137.0
1146,13795,3790,"2014-09-13","PRO11",1,135.0
1145,13791,3786,"2014-09-22","PRO11",5,221.0
1144,13789,3784,"2014-07-22","PRO11",5,238.0
1143,13788,3783,"2014-09-18","PRO11",5,85.0
1142,13784,3779,"2014-09-11","PRO11",5,153.0
1141,13783,3778,"2014-10-07","PRO11",5,213.0
1140,13780,3775,"2014-09-17","PRO11",5,76.0
1139,13777,3772,"2014-07-30","PRO11",5,315.0
1138,13773,3768,"2014-09-15","PRO11",5,442.0
1137,13772,3767,"2014-09-11","PRO11",5,209.0
1136,13770,3765,"2014-09-04","PRO11",5,199.0
1135,13764,3759,"2014-08-21","PRO11",5,105.0
1134,13761,3756,"2014-07-25","PRO11",5,87.0
1133,13757,3752,"2014-07-24","PRO11",5,408.0
1132,13752,3747,"2014-09-07","PRO11",5,83.0
1131,13749,3744,"2014-10-24","PRO11",5,275.0
1130,13742,3737,"2014-10-14","PRO11",5,121.0
1129,13739,3734,"2014-09-04","PRO11",5,354.0
1128,13735,3730,"2014-09-13","PRO11",5,358.0
1127,13734,3729,"2014-07-16","PRO11",5,86.0
1126,13733,3728,"2014-07-31","PRO11",5,280.0
1125,13729,3724,"2014-07-23","PRO11",5,82.0
1124,13704,3699,"2014-10-10","PRO11",5,383.0
1123,13703,3698,"2014-09-20","PRO11",5,82.0
1122,13698,3693,"2014-07-17","PRO11",5,89.0
1121,13689,3684,"2014-08-16","PRO11",5,187.0
1120,13688,3683,"2014-09-03","PRO11",5,292.0
1119,13683,3678,"2014-08-20","PRO11",5,87.0
1118,13675,3670,"2014-09-17","PRO11",5,268.0
1117,13669,3664,"2014-07-25","PRO11",5,113.0
1116,13667,3662,"2014-09-03","PRO11",5,120.0
1115,13658,3653,"2014-09-23","PRO11",1,185.0
1114,13653,3648,"2014-10-12","PRO11",1,118.0
1113,13646,3641,"2014-09-02","PRO11",1,223.0
