OficinaPertenece;CategoriaCliente;FechaRegistro;CodigoCliente;NombresCliente
ENS. NACO;INDIVIDUAL;11/10/22 11:35;47;CTE-47 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;1/12/17 16:02;48;CTE-48 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;7/2/21 11:38;49;CTE-49 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;2/5/22 16:49;50;CTE-50 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;30/8/22 21:45;51;CTE-51 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;24/5/17 11:18;52;CTE-52 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;25/1/20 22:57;53;CTE-53 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;20/6/22 12:11;54;CTE-54 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;2/9/22 10:47;55;CTE-55 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;8/9/22 11:37;56;CTE-56 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;26/7/22 14:35;57;CTE-57 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;14/1/14 20:41;58;CTE-58 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;21/6/15 13:45;59;CTE-59 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;11/5/17 11:10;60;CTE-60 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;23/7/19 10:22;61;CTE-61 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;4/7/20 13:16;62;CTE-62 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;12/10/21 11:29;63;CTE-63 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;12/1/22 11:54;64;CTE-64 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;7/2/22 9:40;65;CTE-65 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;14/5/22 18:30;66;CTE-66 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;5/7/22 10:04;67;CTE-67 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;9/10/21 8:24;68;CTE-68 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;28/10/21 12:23;69;CTE-69 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;10/11/21 15:00;70;CTE-70 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;3/1/22 13:20;71;CTE-71 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;14/1/22 14:02;72;CTE-72 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;17/2/22 15:57;73;CTE-73 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;20/4/22 15:57;74;CTE-74 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;25/5/22 17:06;75;CTE-75 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;20/7/19 20:16;76;CTE-76 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;12/12/19 11:10;77;CTE-77 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;12/4/22 18:42;78;CTE-78 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;30/6/22 17:57;79;CTE-79 PAQUETERIA INDIVIDUAL
ENS. NACO;EMPLEADO;13/11/92 0:00;80;CTE-80 PAQUETERIA EMPLEADO
ENS. NACO;INDIVIDUAL;12/11/96 0:00;81;CTE-81 PAQUETERIA INDIVIDUAL
ENS. NACO;EMPLEADO;10/3/98 0:00;82;CTE-82 PAQUETERIA EMPLEADO
ENS. NACO;INDIVIDUAL;19/4/95 0:00;83;CTE-83 PAQUETERIA INDIVIDUAL
ENS. NACO; GENERAN CREDITOS Y/O SUSTENTAN COSTOS;25/7/17 0:00;84;CTE-84 PAQUETERIA  GENERAN CREDITOS Y/O SUSTENTAN COSTOS
ENS. NACO;INDIVIDUAL;1/1/92 0:00;85;CTE-85 PAQUETERIA INDIVIDUAL
ENS. NACO;EMPLEADO;26/10/99 0:00;86;CTE-86 PAQUETERIA EMPLEADO
ENS. NACO;EMPLEADO;7/2/20 17:18;87;CTE-87 PAQUETERIA EMPLEADO
ENS. NACO;EMPLEADO;31/8/20 20:18;88;CTE-88 PAQUETERIA EMPLEADO
ENS. NACO;EMPLEADO;21/10/20 14:58;89;CTE-89 PAQUETERIA EMPLEADO
ENS. NACO; GENERAN CREDITOS Y/O SUSTENTAN COSTOS;26/1/21 10:13;90;CTE-90 PAQUETERIA  GENERAN CREDITOS Y/O SUSTENTAN COSTOS
ENS. NACO;EMPLEADO;16/3/21 15:45;91;CTE-91 PAQUETERIA EMPLEADO
ENS. NACO;EMPLEADO;7/4/21 17:44;92;CTE-92 PAQUETERIA EMPLEADO
ENS. NACO; GENERAN CREDITOS Y/O SUSTENTAN COSTOS;3/5/21 9:36;93;CTE-93 PAQUETERIA  GENERAN CREDITOS Y/O SUSTENTAN COSTOS
ENS. NACO;EMPLEADO;1/3/22 16:53;94;CTE-94 PAQUETERIA EMPLEADO
ENS. NACO; GENERAN CREDITOS Y/O SUSTENTAN COSTOS;22/11/21 0:00;95;CTE-95 PAQUETERIA  GENERAN CREDITOS Y/O SUSTENTAN COSTOS
ENS. NACO;INDIVIDUAL;15/4/21 11:02;96;CTE-96 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;1/7/22 0:55;97;CTE-97 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;12/10/22 17:00;98;CTE-98 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;2/2/18 11:27;99;CTE-99 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;26/2/18 18:05;100;CTE-100 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;24/4/18 11:08;101;CTE-101 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;3/6/19 16:21;102;CTE-102 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;29/8/19 17:36;103;CTE-103 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;6/9/19 18:12;104;CTE-104 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;17/8/20 19:01;105;CTE-105 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;18/8/20 0:13;106;CTE-106 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;4/9/20 12:33;107;CTE-107 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;23/9/20 8:29;108;CTE-108 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;6/8/21 12:27;109;CTE-109 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;12/8/21 8:33;110;CTE-110 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;3/9/21 17:25;111;CTE-111 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;12/10/21 16:51;112;CTE-112 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;2/12/21 14:47;113;CTE-113 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;17/1/22 21:31;114;CTE-114 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;8/3/22 0:10;115;CTE-115 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;2/6/22 10:41;116;CTE-116 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;28/8/22 20:51;117;CTE-117 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;26/7/22 11:50;118;CTE-118 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;8/9/22 10:23;119;CTE-119 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;26/2/20 11:08;120;CTE-120 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;11/5/20 13:00;121;CTE-121 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;4/6/20 1:11;122;CTE-122 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;21/7/20 20:25;123;CTE-123 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;28/9/20 12:05;124;CTE-124 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;12/11/20 17:07;125;CTE-125 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;16/2/21 23:05;126;CTE-126 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;7/4/21 14:11;127;CTE-127 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;8/4/21 13:14;128;CTE-128 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;25/5/21 15:24;129;CTE-129 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;1/6/21 20:55;130;CTE-130 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;11/7/21 17:35;131;CTE-131 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;20/8/21 19:11;132;CTE-132 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;28/9/21 16:08;133;CTE-133 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;28/10/21 9:49;134;CTE-134 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;2/11/21 22:32;135;CTE-135 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;5/11/21 9:49;136;CTE-136 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;15/11/21 1:24;137;CTE-137 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;8/12/21 8:27;138;CTE-138 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;10/12/21 14:20;139;CTE-139 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;15/1/22 11:30;140;CTE-140 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;17/1/22 16:19;141;CTE-141 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;1/2/22 21:35;142;CTE-142 PAQUETERIA INDIVIDUAL
NACO;Corporativo;7/6/23 9:59;143;CTE-143 PAQUETERIA Corporativo
NACO;Personal;20/6/23 10:45;144;CTE-144 PAQUETERIA Personal
NACO;Personal;5/7/23 16:23;145;CTE-145 PAQUETERIA Personal
NACO;Personal;27/9/23 8:50;146;CTE-146 PAQUETERIA Personal
NACO;Personal;12/12/23 14:58;147;CTE-147 PAQUETERIA Personal
NACO;Personal;22/12/23 10:08;148;CTE-148 PAQUETERIA Personal
NACO;Personal;27/12/23 15:49;149;CTE-149 PAQUETERIA Personal
ARROYO HONDO;Personal;15/5/23 17:12;150;CTE-150 PAQUETERIA Personal
ARROYO HONDO;Personal;17/8/23 9:51;151;CTE-151 PAQUETERIA Personal
ARROYO HONDO;Personal;28/9/23 9:53;152;CTE-152 PAQUETERIA Personal
ARROYO HONDO;Personal;6/3/24 8:55;153;CTE-153 PAQUETERIA Personal
APEC;Personal;11/6/23 15:52;154;CTE-154 PAQUETERIA Personal
APEC;Personal;1/9/23 13:40;155;CTE-155 PAQUETERIA Personal
APEC;Personal;15/11/23 11:26;156;CTE-156 PAQUETERIA Personal
APEC;Personal;10/2/24 9:33;157;CTE-157 PAQUETERIA Personal
APEC;Personal;23/2/24 17:47;158;CTE-158 PAQUETERIA Personal
BELLA VISTA;Personal;9/7/23 15:27;159;CTE-159 PAQUETERIA Personal
BELLA VISTA;Personal;20/10/23 16:49;160;CTE-160 PAQUETERIA Personal
BELLA VISTA;Personal;21/11/23 9:19;161;CTE-161 PAQUETERIA Personal
BELLA VISTA;Personal;8/1/24 9:29;162;CTE-162 PAQUETERIA Personal
BELLA VISTA;Personal;3/2/24 15:40;163;CTE-163 PAQUETERIA Personal
INDEPENDENCIA;Personal;12/10/23 9:42;164;CTE-164 PAQUETERIA Personal
INDEPENDENCIA;Personal;5/11/23 16:09;165;CTE-165 PAQUETERIA Personal
INTEC;Personal;4/9/23 8:36;166;CTE-166 PAQUETERIA Personal
INTEC;Personal;3/11/23 17:11;167;CTE-167 PAQUETERIA Personal
INTEC;Personal;9/11/23 0:28;168;CTE-168 PAQUETERIA Personal
INTEC;Personal;27/11/23 17:25;169;CTE-169 PAQUETERIA Personal
INTEC;Personal;27/11/23 17:53;170;CTE-170 PAQUETERIA Personal
INTEC;Personal;31/1/24 12:56;171;CTE-171 PAQUETERIA Personal
INTEC;Personal;29/2/24 23:43;172;CTE-172 PAQUETERIA Personal
INTEC;Personal;20/3/24 15:41;173;CTE-173 PAQUETERIA Personal
AZUA;Personal;20/5/23 11:03;174;CTE-174 PAQUETERIA Personal
AZUA;Personal;28/8/23 16:29;175;CTE-175 PAQUETERIA Personal
AZUA;Personal;28/8/23 20:32;176;CTE-176 PAQUETERIA Personal
AZUA;Personal;13/9/23 10:58;177;CTE-177 PAQUETERIA Personal
AZUA;Personal;18/9/23 15:24;178;CTE-178 PAQUETERIA Personal
AZUA;Personal;21/9/23 13:01;179;CTE-179 PAQUETERIA Personal
AZUA;Personal;23/9/23 13:46;180;CTE-180 PAQUETERIA Personal
AZUA;Personal;7/11/23 10:18;181;CTE-181 PAQUETERIA Personal
AZUA;Personal;26/1/24 9:28;182;CTE-182 PAQUETERIA Personal
AZUA;Personal;30/1/24 14:24;183;CTE-183 PAQUETERIA Personal
AZUA;Personal;30/1/24 16:25;184;CTE-184 PAQUETERIA Personal
AZUA;Personal;13/3/24 12:25;185;CTE-185 PAQUETERIA Personal
AZUA;Personal;1/4/24 15:48;186;CTE-186 PAQUETERIA Personal
BANÍ;Personal;15/8/23 18:46;187;CTE-187 PAQUETERIA Personal
BANÍ;Personal;7/9/23 16:04;188;CTE-188 PAQUETERIA Personal
BANÍ;Personal;3/10/23 10:46;189;CTE-189 PAQUETERIA Personal
BANÍ;Personal;18/10/23 13:27;190;CTE-190 PAQUETERIA Personal
BANÍ;Personal;27/10/23 8:37;191;CTE-191 PAQUETERIA Personal
BANÍ;Personal;7/11/23 12:16;192;CTE-192 PAQUETERIA Personal
BANÍ;Personal;7/11/23 12:31;193;CTE-193 PAQUETERIA Personal
BANÍ;Personal;15/11/23 22:09;194;CTE-194 PAQUETERIA Personal
BANÍ;Personal;7/12/23 11:54;195;CTE-195 PAQUETERIA Personal
BANÍ;Personal;19/1/24 16:20;196;CTE-196 PAQUETERIA Personal
BANÍ;Personal;31/1/24 13:25;197;CTE-197 PAQUETERIA Personal
BANÍ;Personal;23/2/24 19:43;198;CTE-198 PAQUETERIA Personal
BANÍ;Personal;6/3/24 11:26;199;CTE-199 PAQUETERIA Personal
BANÍ;Personal;19/3/24 10:52;200;CTE-200 PAQUETERIA Personal
BANÍ;Personal;27/3/24 15:53;201;CTE-201 PAQUETERIA Personal
BARAHONA;Personal;4/6/23 13:24;202;CTE-202 PAQUETERIA Personal
BARAHONA;Personal;16/6/23 10:14;203;CTE-203 PAQUETERIA Personal
BARAHONA;Personal;29/7/23 16:54;204;CTE-204 PAQUETERIA Personal
BARAHONA;Personal;3/8/23 23:06;205;CTE-205 PAQUETERIA Personal
BARAHONA;Personal;4/8/23 11:05;206;CTE-206 PAQUETERIA Personal
BARAHONA;Personal;16/8/23 20:20;207;CTE-207 PAQUETERIA Personal
BARAHONA;Personal;2/10/23 18:42;208;CTE-208 PAQUETERIA Personal
BARAHONA;Personal;16/11/23 19:53;209;CTE-209 PAQUETERIA Personal
BARAHONA;Personal;19/11/23 15:47;210;CTE-210 PAQUETERIA Personal
BARAHONA;Personal;19/11/23 16:49;211;CTE-211 PAQUETERIA Personal
BARAHONA;Personal;25/11/23 9:23;212;CTE-212 PAQUETERIA Personal
BARAHONA;Personal;2/12/23 13:13;213;CTE-213 PAQUETERIA Personal
BARAHONA;Personal;26/12/23 10:29;214;CTE-214 PAQUETERIA Personal
BARAHONA;Personal;9/1/24 15:07;215;CTE-215 PAQUETERIA Personal
BARAHONA;Personal;11/1/24 16:42;216;CTE-216 PAQUETERIA Personal
BARAHONA;Personal;17/1/24 20:59;217;CTE-217 PAQUETERIA Personal
BARAHONA;Personal;8/2/24 18:06;218;CTE-218 PAQUETERIA Personal
BARAHONA;Personal;24/4/24 10:35;219;CTE-219 PAQUETERIA Personal
SANTIAGO BODY SHOP-PUCMM;Personal;5/5/23 14:44;220;CTE-220 PAQUETERIA Personal
SANTIAGO BODY SHOP-PUCMM;Personal;3/6/23 19:18;221;CTE-221 PAQUETERIA Personal
SANTIAGO BODY SHOP-PUCMM;Personal;23/6/23 10:36;222;CTE-222 PAQUETERIA Personal
SANTIAGO BODY SHOP-PUCMM;Personal;29/7/23 0:40;223;CTE-223 PAQUETERIA Personal
SANTIAGO HOSTOS;Personal;3/8/23 21:48;224;CTE-224 PAQUETERIA Personal
SANTIAGO BODY SHOP-PUCMM;Personal;24/8/23 11:54;225;CTE-225 PAQUETERIA Personal
SANTIAGO BODY SHOP-PUCMM;Personal;19/9/23 18:11;226;CTE-226 PAQUETERIA Personal
SANTIAGO BODY SHOP-PUCMM;Personal;2/11/23 10:23;227;CTE-227 PAQUETERIA Personal
SANTIAGO BODY SHOP-PUCMM;Personal;7/11/23 7:12;228;CTE-228 PAQUETERIA Personal
SANTIAGO BODY SHOP-PUCMM;Personal;23/11/23 15:47;229;CTE-229 PAQUETERIA Personal
SANTIAGO BODY SHOP-PUCMM;Personal;26/12/23 16:44;230;CTE-230 PAQUETERIA Personal
SANTIAGO BODY SHOP-PUCMM;Personal;12/1/24 17:09;231;CTE-231 PAQUETERIA Personal
SANTIAGO BODY SHOP-PUCMM;Personal;29/2/24 9:13;232;CTE-232 PAQUETERIA Personal
SANTIAGO HOSTOS;Personal;26/7/23 14:39;233;CTE-233 PAQUETERIA Personal
SANTIAGO HOSTOS;Personal;1/12/23 14:08;234;CTE-234 PAQUETERIA Personal
SANTIAGO HOSTOS;Personal;3/4/24 20:48;235;CTE-235 PAQUETERIA Personal
SANTIAGO HOSTOS;Personal;22/4/24 17:29;236;CTE-236 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;8/6/23 19:02;237;CTE-237 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;21/8/23 23:03;238;CTE-238 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;28/8/23 15:37;239;CTE-239 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;18/9/23 17:50;240;CTE-240 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;5/10/23 19:01;241;CTE-241 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;6/10/23 19:32;242;CTE-242 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;24/10/23 13:03;243;CTE-243 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;6/11/23 20:19;244;CTE-244 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;21/11/23 14:20;245;CTE-245 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;22/11/23 16:30;246;CTE-246 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;23/11/23 12:01;247;CTE-247 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;23/11/23 13:52;248;CTE-248 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;1/12/23 16:28;249;CTE-249 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;4/12/23 11:25;250;CTE-250 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;13/12/23 21:24;251;CTE-251 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;20/12/23 19:32;252;CTE-252 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;21/12/23 22:28;253;CTE-253 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;3/1/24 15:46;254;CTE-254 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;11/1/24 9:33;255;CTE-255 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;11/1/24 10:25;256;CTE-256 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;28/2/24 10:46;257;CTE-257 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;18/3/24 18:08;258;CTE-258 PAQUETERIA Personal
SAN JUAN DE LA MAGUANA;Personal;3/4/24 16:58;259;CTE-259 PAQUETERIA Personal
SAN CRISTÓBAL;Personal;10/6/23 12:47;260;CTE-260 PAQUETERIA Personal
SAN CRISTÓBAL;Personal;14/6/23 22:14;261;CTE-261 PAQUETERIA Personal
SAN CRISTÓBAL;Personal;24/6/23 0:00;262;CTE-262 PAQUETERIA Personal
SAN CRISTÓBAL;Personal;8/7/23 20:09;263;CTE-263 PAQUETERIA Personal
SAN CRISTÓBAL;Personal;27/7/23 17:46;264;CTE-264 PAQUETERIA Personal
SAN CRISTÓBAL;Personal;5/8/23 19:53;265;CTE-265 PAQUETERIA Personal
SAN CRISTÓBAL;Personal;6/10/23 15:03;266;CTE-266 PAQUETERIA Personal
SAN CRISTÓBAL;Personal;9/10/23 16:35;267;CTE-267 PAQUETERIA Personal
SAN CRISTÓBAL;Personal;9/11/23 21:59;268;CTE-268 PAQUETERIA Personal
SAN CRISTÓBAL;Personal;17/11/23 22:43;269;CTE-269 PAQUETERIA Personal
SAN CRISTÓBAL;Personal;27/11/23 10:04;270;CTE-270 PAQUETERIA Personal
SAN CRISTÓBAL;Personal;7/12/23 22:06;271;CTE-271 PAQUETERIA Personal
SAN CRISTÓBAL;Personal;9/12/23 13:36;272;CTE-272 PAQUETERIA Personal
SAN CRISTÓBAL;Personal;15/12/23 12:04;273;CTE-273 PAQUETERIA Personal
SAN CRISTÓBAL;Personal;15/12/23 14:43;274;CTE-274 PAQUETERIA Personal
SAN CRISTÓBAL;Personal;26/1/24 12:30;275;CTE-275 PAQUETERIA Personal
SAN CRISTÓBAL;Personal;27/3/24 10:13;276;CTE-276 PAQUETERIA Personal
SABANA LARGA;Personal;11/7/23 18:40;277;CTE-277 PAQUETERIA Personal
SABANA LARGA;Personal;9/8/23 22:48;278;CTE-278 PAQUETERIA Personal
SABANA LARGA;Personal;30/10/23 11:14;279;CTE-279 PAQUETERIA Personal
SABANA LARGA;Personal;31/1/24 17:52;280;CTE-280 PAQUETERIA Personal
