"IDE_PEDIDO";"DES_PEDIDO"
13394;"ORDER SALES MIG102995"
13239;"ORDER SALES MIG102840"
13228;"ORDER SALES MIG102829"
12741;"ORDER SALES MIG102342"
11386;"ORDER SALES MIG100987"
11244;"ORDER SALES MIG100845"
11200;"ORDER SALES MIG100801"
11061;"ORDER SALES MIG100662"
10637;"ORDER SALES MIG100238"
10500;"ORDER SALES MIG100101"
10430;"ORDER SALES MIG100031"
11341;"ORDER SALES MIG100942"
12992;"ORDER SALES MIG102593"
11796;"ORDER SALES MIG101397"
11640;"ORDER SALES MIG101241"
14921;"ORDER SALES MIG104522"
14619;"ORDER SALES MIG104220"
14589;"ORDER SALES MIG104190"
13021;"ORDER SALES MIG102622"
12575;"ORDER SALES MIG102176"
12528;"ORDER SALES MIG102129"
11445;"ORDER SALES MIG101046"
12535;"ORDER SALES MIG102136"
11536;"ORDER SALES MIG101137"
10460;"ORDER SALES MIG100061"
15284;"ORDER SALES MIG104885"
14842;"ORDER SALES MIG104443"
13802;"ORDER SALES MIG103403"
12841;"ORDER SALES MIG102442"
12614;"ORDER SALES MIG102215"
12503;"ORDER SALES MIG102104"
12321;"ORDER SALES MIG101922"
12223;"ORDER SALES MIG101824"
11986;"ORDER SALES MIG101587"
11655;"ORDER SALES MIG101256"
11609;"ORDER SALES MIG101210"
11498;"ORDER SALES MIG101099"
11164;"ORDER SALES MIG100765"
10542;"ORDER SALES MIG100143"
10535;"ORDER SALES MIG100136"
15210;"ORDER SALES MIG104811"
14712;"ORDER SALES MIG104313"
14537;"ORDER SALES MIG104138"
14412;"ORDER SALES MIG104013"
13803;"ORDER SALES MIG103404"
13700;"ORDER SALES MIG103301"
13642;"ORDER SALES MIG103243"
13614;"ORDER SALES MIG103215"
13568;"ORDER SALES MIG103169"
13562;"ORDER SALES MIG103163"
13448;"ORDER SALES MIG103049"
13338;"ORDER SALES MIG102939"
13336;"ORDER SALES MIG102937"
13160;"ORDER SALES MIG102761"
12421;"ORDER SALES MIG102022"
12397;"ORDER SALES MIG101998"
12185;"ORDER SALES MIG101786"
11888;"ORDER SALES MIG101489"
11156;"ORDER SALES MIG100757"
11135;"ORDER SALES MIG100736"
11023;"ORDER SALES MIG100624"
10757;"ORDER SALES MIG100358"
10525;"ORDER SALES MIG100126"
10487;"ORDER SALES MIG100088"
15219;"ORDER SALES MIG104820"
12385;"ORDER SALES MIG101986"
11263;"ORDER SALES MIG100864"
14112;"ORDER SALES MIG103713"
13953;"ORDER SALES MIG103554"
13920;"ORDER SALES MIG103521"
13897;"ORDER SALES MIG103498"
12613;"ORDER SALES MIG102214"
10798;"ORDER SALES MIG100399"
14098;"ORDER SALES MIG103699"
12557;"ORDER SALES MIG102158"
12544;"ORDER SALES MIG102145"
10863;"ORDER SALES MIG100464"
14386;"ORDER SALES MIG103987"
15322;"ORDER SALES MIG104923"
14849;"ORDER SALES MIG104450"
14415;"ORDER SALES MIG104016"
13824;"ORDER SALES MIG103425"
12851;"ORDER SALES MIG102452"
11497;"ORDER SALES MIG101098"
10943;"ORDER SALES MIG100544"
10844;"ORDER SALES MIG100445"
10752;"ORDER SALES MIG100353"
10444;"ORDER SALES MIG100045"
15263;"ORDER SALES MIG104864"
15192;"ORDER SALES MIG104793"
14548;"ORDER SALES MIG104149"
14344;"ORDER SALES MIG103945"
14049;"ORDER SALES MIG103650"
14037;"ORDER SALES MIG103638"
13916;"ORDER SALES MIG103517"
13883;"ORDER SALES MIG103484"
13881;"ORDER SALES MIG103482"
12821;"ORDER SALES MIG102422"
12612;"ORDER SALES MIG102213"
12511;"ORDER SALES MIG102112"
12355;"ORDER SALES MIG101956"
12340;"ORDER SALES MIG101941"
12308;"ORDER SALES MIG101909"
12128;"ORDER SALES MIG101729"
12124;"ORDER SALES MIG101725"
11499;"ORDER SALES MIG101100"
11127;"ORDER SALES MIG100728"
12495;"ORDER SALES MIG102096"
14170;"ORDER SALES MIG103771"
14132;"ORDER SALES MIG103733"
13915;"ORDER SALES MIG103516"
13804;"ORDER SALES MIG103405"
13425;"ORDER SALES MIG103026"
14626;"ORDER SALES MIG104227"
13612;"ORDER SALES MIG103213"
13472;"ORDER SALES MIG103073"
13463;"ORDER SALES MIG103064"
12952;"ORDER SALES MIG102553"
12881;"ORDER SALES MIG102482"
12760;"ORDER SALES MIG102361"
12618;"ORDER SALES MIG102219"
12601;"ORDER SALES MIG102202"
12279;"ORDER SALES MIG101880"
14484;"ORDER SALES MIG104085"
11071;"ORDER SALES MIG100672"
14408;"ORDER SALES MIG104009"
15170;"ORDER SALES MIG104771"
14912;"ORDER SALES MIG104513"
14529;"ORDER SALES MIG104130"
14258;"ORDER SALES MIG103859"
12764;"ORDER SALES MIG102365"
12534;"ORDER SALES MIG102135"
11920;"ORDER SALES MIG101521"
11593;"ORDER SALES MIG101194"
11513;"ORDER SALES MIG101114"
11478;"ORDER SALES MIG101079"
11026;"ORDER SALES MIG100627"
15396;"ORDER SALES MIG104997"
15201;"ORDER SALES MIG104802"
14894;"ORDER SALES MIG104495"
14771;"ORDER SALES MIG104372"
14500;"ORDER SALES MIG104101"
14365;"ORDER SALES MIG103966"
13914;"ORDER SALES MIG103515"
13687;"ORDER SALES MIG103288"
13638;"ORDER SALES MIG103239"
13254;"ORDER SALES MIG102855"
13194;"ORDER SALES MIG102795"
12950;"ORDER SALES MIG102551"
12891;"ORDER SALES MIG102492"
12693;"ORDER SALES MIG102294"
12143;"ORDER SALES MIG101744"
12057;"ORDER SALES MIG101658"
11959;"ORDER SALES MIG101560"
11458;"ORDER SALES MIG101059"
10995;"ORDER SALES MIG100596"
10651;"ORDER SALES MIG100252"
13550;"ORDER SALES MIG103151"
13368;"ORDER SALES MIG102969"
14955;"ORDER SALES MIG104556"
13922;"ORDER SALES MIG103523"
11623;"ORDER SALES MIG101224"
15245;"ORDER SALES MIG104846"
13272;"ORDER SALES MIG102873"
12905;"ORDER SALES MIG102506"
12062;"ORDER SALES MIG101663"
11960;"ORDER SALES MIG101561"
11523;"ORDER SALES MIG101124"
11219;"ORDER SALES MIG100820"
11210;"ORDER SALES MIG100811"
15056;"ORDER SALES MIG104657"
14969;"ORDER SALES MIG104570"
14963;"ORDER SALES MIG104564"
13833;"ORDER SALES MIG103434"
12899;"ORDER SALES MIG102500"
12389;"ORDER SALES MIG101990"
11909;"ORDER SALES MIG101510"
11338;"ORDER SALES MIG100939"
12630;"ORDER SALES MIG102231"
11805;"ORDER SALES MIG101406"
14586;"ORDER SALES MIG104187"
13549;"ORDER SALES MIG103150"
12903;"ORDER SALES MIG102504"
12751;"ORDER SALES MIG102352"
12197;"ORDER SALES MIG101798"
11792;"ORDER SALES MIG101393"
11195;"ORDER SALES MIG100796"
11064;"ORDER SALES MIG100665"
10744;"ORDER SALES MIG100345"
10556;"ORDER SALES MIG100157"
15299;"ORDER SALES MIG104900"
15280;"ORDER SALES MIG104881"
14860;"ORDER SALES MIG104461"
14796;"ORDER SALES MIG104397"
14733;"ORDER SALES MIG104334"
14513;"ORDER SALES MIG104114"
14367;"ORDER SALES MIG103968"
14351;"ORDER SALES MIG103952"
14079;"ORDER SALES MIG103680"
13412;"ORDER SALES MIG103013"
13142;"ORDER SALES MIG102743"
12716;"ORDER SALES MIG102317"
12672;"ORDER SALES MIG102273"
12615;"ORDER SALES MIG102216"
12144;"ORDER SALES MIG101745"
11755;"ORDER SALES MIG101356"
11387;"ORDER SALES MIG100988"
11229;"ORDER SALES MIG100830"
11018;"ORDER SALES MIG100619"
10919;"ORDER SALES MIG100520"
10772;"ORDER SALES MIG100373"
15242;"ORDER SALES MIG104843"
14565;"ORDER SALES MIG104166"
14534;"ORDER SALES MIG104135"
14330;"ORDER SALES MIG103931"
13789;"ORDER SALES MIG103390"
12234;"ORDER SALES MIG101835"
15064;"ORDER SALES MIG104665"
14840;"ORDER SALES MIG104441"
14060;"ORDER SALES MIG103661"
11839;"ORDER SALES MIG101440"
11832;"ORDER SALES MIG101433"
11055;"ORDER SALES MIG100656"
10870;"ORDER SALES MIG100471"
10733;"ORDER SALES MIG100334"
14757;"ORDER SALES MIG104358"
14255;"ORDER SALES MIG103856"
14127;"ORDER SALES MIG103728"
13940;"ORDER SALES MIG103541"
11881;"ORDER SALES MIG101482"
11047;"ORDER SALES MIG100648"
14710;"ORDER SALES MIG104311"
15326;"ORDER SALES MIG104927"
14693;"ORDER SALES MIG104294"
14349;"ORDER SALES MIG103950"
13729;"ORDER SALES MIG103330"
13554;"ORDER SALES MIG103155"
13120;"ORDER SALES MIG102721"
13030;"ORDER SALES MIG102631"
12390;"ORDER SALES MIG101991"
12363;"ORDER SALES MIG101964"
11833;"ORDER SALES MIG101434"
10938;"ORDER SALES MIG100539"
14505;"ORDER SALES MIG104106"
13664;"ORDER SALES MIG103265"
13293;"ORDER SALES MIG102894"
12659;"ORDER SALES MIG102260"
12533;"ORDER SALES MIG102134"
12142;"ORDER SALES MIG101743"
11847;"ORDER SALES MIG101448"
11731;"ORDER SALES MIG101332"
11569;"ORDER SALES MIG101170"
11558;"ORDER SALES MIG101159"
11470;"ORDER SALES MIG101071"
11326;"ORDER SALES MIG100927"
11035;"ORDER SALES MIG100636"
10630;"ORDER SALES MIG100231"
10536;"ORDER SALES MIG100137"
12875;"ORDER SALES MIG102476"
12422;"ORDER SALES MIG102023"
11927;"ORDER SALES MIG101528"
10939;"ORDER SALES MIG100540"
15157;"ORDER SALES MIG104758"
14936;"ORDER SALES MIG104537"
14116;"ORDER SALES MIG103717"
14082;"ORDER SALES MIG103683"
13690;"ORDER SALES MIG103291"
12701;"ORDER SALES MIG102302"
11985;"ORDER SALES MIG101586"
10883;"ORDER SALES MIG100484"
10554;"ORDER SALES MIG100155"
15293;"ORDER SALES MIG104894"
14716;"ORDER SALES MIG104317"
13757;"ORDER SALES MIG103358"
11929;"ORDER SALES MIG101530"
11089;"ORDER SALES MIG100690"
12870;"ORDER SALES MIG102471"
15089;"ORDER SALES MIG104690"
14844;"ORDER SALES MIG104445"
13917;"ORDER SALES MIG103518"
11016;"ORDER SALES MIG100617"
11012;"ORDER SALES MIG100613"
14917;"ORDER SALES MIG104518"
14571;"ORDER SALES MIG104172"
14515;"ORDER SALES MIG104116"
14459;"ORDER SALES MIG104060"
13623;"ORDER SALES MIG103224"
13573;"ORDER SALES MIG103174"
12879;"ORDER SALES MIG102480"
12804;"ORDER SALES MIG102405"
11864;"ORDER SALES MIG101465"
11350;"ORDER SALES MIG100951"
11303;"ORDER SALES MIG100904"
11202;"ORDER SALES MIG100803"
10896;"ORDER SALES MIG100497"
10658;"ORDER SALES MIG100259"
10422;"ORDER SALES MIG100023"
14692;"ORDER SALES MIG104293"
14566;"ORDER SALES MIG104167"
14245;"ORDER SALES MIG103846"
12606;"ORDER SALES MIG102207"
12012;"ORDER SALES MIG101613"
15217;"ORDER SALES MIG104818"
13728;"ORDER SALES MIG103329"
13572;"ORDER SALES MIG103173"
13551;"ORDER SALES MIG103152"
13136;"ORDER SALES MIG102737"
12386;"ORDER SALES MIG101987"
12151;"ORDER SALES MIG101752"
11854;"ORDER SALES MIG101455"
11763;"ORDER SALES MIG101364"
11652;"ORDER SALES MIG101253"
10731;"ORDER SALES MIG100332"
10403;"ORDER SALES MIG100004"
13055;"ORDER SALES MIG102656"
12540;"ORDER SALES MIG102141"
11783;"ORDER SALES MIG101384"
11587;"ORDER SALES MIG101188"
15268;"ORDER SALES MIG104869"
15142;"ORDER SALES MIG104743"
14892;"ORDER SALES MIG104493"
14657;"ORDER SALES MIG104258"
14264;"ORDER SALES MIG103865"
13980;"ORDER SALES MIG103581"
13974;"ORDER SALES MIG103575"
13970;"ORDER SALES MIG103571"
13948;"ORDER SALES MIG103549"
13761;"ORDER SALES MIG103362"
13200;"ORDER SALES MIG102801"
12928;"ORDER SALES MIG102529"
12838;"ORDER SALES MIG102439"
12684;"ORDER SALES MIG102285"
12532;"ORDER SALES MIG102133"
12195;"ORDER SALES MIG101796"
11395;"ORDER SALES MIG100996"
14979;"ORDER SALES MIG104580"
14038;"ORDER SALES MIG103639"
13810;"ORDER SALES MIG103411"
13073;"ORDER SALES MIG102674"
12670;"ORDER SALES MIG102271"
12164;"ORDER SALES MIG101765"
12120;"ORDER SALES MIG101721"
11874;"ORDER SALES MIG101475"
11826;"ORDER SALES MIG101427"
11662;"ORDER SALES MIG101263"
11500;"ORDER SALES MIG101101"
11403;"ORDER SALES MIG101004"
11280;"ORDER SALES MIG100881"
11226;"ORDER SALES MIG100827"
10935;"ORDER SALES MIG100536"
10856;"ORDER SALES MIG100457"
10694;"ORDER SALES MIG100295"
13786;"ORDER SALES MIG103387"
13153;"ORDER SALES MIG102754"
15200;"ORDER SALES MIG104801"
13669;"ORDER SALES MIG103270"
14798;"ORDER SALES MIG104399"
14496;"ORDER SALES MIG104097"
14246;"ORDER SALES MIG103847"
14226;"ORDER SALES MIG103827"
14214;"ORDER SALES MIG103815"
12995;"ORDER SALES MIG102596"
12780;"ORDER SALES MIG102381"
12007;"ORDER SALES MIG101608"
11933;"ORDER SALES MIG101534"
11114;"ORDER SALES MIG100715"
10435;"ORDER SALES MIG100036"
14590;"ORDER SALES MIG104191"
13727;"ORDER SALES MIG103328"
12139;"ORDER SALES MIG101740"
11314;"ORDER SALES MIG100915"
13768;"ORDER SALES MIG103369"
11820;"ORDER SALES MIG101421"
14974;"ORDER SALES MIG104575"
14965;"ORDER SALES MIG104566"
14199;"ORDER SALES MIG103800"
14188;"ORDER SALES MIG103789"
13990;"ORDER SALES MIG103591"
13972;"ORDER SALES MIG103573"
12163;"ORDER SALES MIG101764"
11914;"ORDER SALES MIG101515"
10850;"ORDER SALES MIG100451"
10648;"ORDER SALES MIG100249"
15163;"ORDER SALES MIG104764"
15078;"ORDER SALES MIG104679"
15022;"ORDER SALES MIG104623"
14141;"ORDER SALES MIG103742"
14048;"ORDER SALES MIG103649"
13179;"ORDER SALES MIG102780"
12960;"ORDER SALES MIG102561"
12956;"ORDER SALES MIG102557"
12628;"ORDER SALES MIG102229"
12567;"ORDER SALES MIG102168"
12354;"ORDER SALES MIG101955"
12220;"ORDER SALES MIG101821"
11961;"ORDER SALES MIG101562"
11840;"ORDER SALES MIG101441"
11493;"ORDER SALES MIG101094"
11404;"ORDER SALES MIG101005"
11333;"ORDER SALES MIG100934"
10937;"ORDER SALES MIG100538"
10849;"ORDER SALES MIG100450"
13072;"ORDER SALES MIG102673"
13210;"ORDER SALES MIG102811"
12252;"ORDER SALES MIG101853"
12094;"ORDER SALES MIG101695"
10945;"ORDER SALES MIG100546"
13910;"ORDER SALES MIG103511"
13725;"ORDER SALES MIG103326"
13323;"ORDER SALES MIG102924"
12683;"ORDER SALES MIG102284"
12141;"ORDER SALES MIG101742"
11952;"ORDER SALES MIG101553"
11798;"ORDER SALES MIG101399"
11318;"ORDER SALES MIG100919"
10806;"ORDER SALES MIG100407"
10622;"ORDER SALES MIG100223"
14680;"ORDER SALES MIG104281"
14490;"ORDER SALES MIG104091"
14448;"ORDER SALES MIG104049"
13054;"ORDER SALES MIG102655"
13007;"ORDER SALES MIG102608"
11111;"ORDER SALES MIG100712"
15191;"ORDER SALES MIG104792"
14678;"ORDER SALES MIG104279"
14425;"ORDER SALES MIG104026"
13401;"ORDER SALES MIG103002"
13307;"ORDER SALES MIG102908"
12748;"ORDER SALES MIG102349"
12559;"ORDER SALES MIG102160"
11890;"ORDER SALES MIG101491"
11540;"ORDER SALES MIG101141"
11190;"ORDER SALES MIG100791"
10871;"ORDER SALES MIG100472"
15398;"ORDER SALES MIG104999"
15012;"ORDER SALES MIG104613"
14918;"ORDER SALES MIG104519"
13960;"ORDER SALES MIG103561"
13805;"ORDER SALES MIG103406"
13513;"ORDER SALES MIG103114"
13473;"ORDER SALES MIG103074"
13322;"ORDER SALES MIG102923"
13253;"ORDER SALES MIG102854"
13078;"ORDER SALES MIG102679"
13017;"ORDER SALES MIG102618"
12894;"ORDER SALES MIG102495"
12834;"ORDER SALES MIG102435"
12607;"ORDER SALES MIG102208"
12439;"ORDER SALES MIG102040"
12263;"ORDER SALES MIG101864"
11586;"ORDER SALES MIG101187"
11031;"ORDER SALES MIG100632"
11024;"ORDER SALES MIG100625"
10984;"ORDER SALES MIG100585"
10942;"ORDER SALES MIG100543"
12646;"ORDER SALES MIG102247"
11462;"ORDER SALES MIG101063"
10821;"ORDER SALES MIG100422"
11984;"ORDER SALES MIG101585"
10642;"ORDER SALES MIG100243"
14413;"ORDER SALES MIG104014"
14360;"ORDER SALES MIG103961"
14305;"ORDER SALES MIG103906"
13497;"ORDER SALES MIG103098"
13056;"ORDER SALES MIG102657"
12777;"ORDER SALES MIG102378"
11253;"ORDER SALES MIG100854"
11232;"ORDER SALES MIG100833"
10843;"ORDER SALES MIG100444"
10483;"ORDER SALES MIG100084"
15223;"ORDER SALES MIG104824"
14012;"ORDER SALES MIG103613"
13429;"ORDER SALES MIG103030"
13376;"ORDER SALES MIG102977"
13240;"ORDER SALES MIG102841"
12145;"ORDER SALES MIG101746"
11560;"ORDER SALES MIG101161"
11241;"ORDER SALES MIG100842"
10538;"ORDER SALES MIG100139"
13839;"ORDER SALES MIG103440"
12344;"ORDER SALES MIG101945"
15384;"ORDER SALES MIG104985"
15314;"ORDER SALES MIG104915"
15037;"ORDER SALES MIG104638"
14824;"ORDER SALES MIG104425"
14057;"ORDER SALES MIG103658"
13591;"ORDER SALES MIG103192"
13523;"ORDER SALES MIG103124"
13227;"ORDER SALES MIG102828"
13015;"ORDER SALES MIG102616"
12938;"ORDER SALES MIG102539"
12621;"ORDER SALES MIG102222"
12474;"ORDER SALES MIG102075"
11685;"ORDER SALES MIG101286"
10762;"ORDER SALES MIG100363"
15329;"ORDER SALES MIG104930"
15179;"ORDER SALES MIG104780"
14970;"ORDER SALES MIG104571"
14219;"ORDER SALES MIG103820"
13721;"ORDER SALES MIG103322"
13027;"ORDER SALES MIG102628"
12360;"ORDER SALES MIG101961"
11690;"ORDER SALES MIG101291"
11510;"ORDER SALES MIG101111"
10518;"ORDER SALES MIG100119"
10497;"ORDER SALES MIG100098"
10425;"ORDER SALES MIG100026"
13961;"ORDER SALES MIG103562"
13402;"ORDER SALES MIG103003"
12434;"ORDER SALES MIG102035"
10519;"ORDER SALES MIG100120"
14896;"ORDER SALES MIG104497"
14762;"ORDER SALES MIG104363"
13776;"ORDER SALES MIG103377"
13649;"ORDER SALES MIG103250"
11721;"ORDER SALES MIG101322"
11588;"ORDER SALES MIG101189"
11437;"ORDER SALES MIG101038"
11254;"ORDER SALES MIG100855"
10876;"ORDER SALES MIG100477"
12285;"ORDER SALES MIG101886"
15370;"ORDER SALES MIG104971"
15161;"ORDER SALES MIG104762"
14570;"ORDER SALES MIG104171"
14387;"ORDER SALES MIG103988"
12856;"ORDER SALES MIG102457"
12844;"ORDER SALES MIG102445"
12828;"ORDER SALES MIG102429"
12635;"ORDER SALES MIG102236"
11860;"ORDER SALES MIG101461"
11131;"ORDER SALES MIG100732"
10799;"ORDER SALES MIG100400"
15395;"ORDER SALES MIG104996"
15313;"ORDER SALES MIG104914"
15285;"ORDER SALES MIG104886"
15240;"ORDER SALES MIG104841"
14834;"ORDER SALES MIG104435"
14694;"ORDER SALES MIG104295"
14452;"ORDER SALES MIG104053"
14338;"ORDER SALES MIG103939"
14165;"ORDER SALES MIG103766"
13074;"ORDER SALES MIG102675"
12762;"ORDER SALES MIG102363"
12325;"ORDER SALES MIG101926"
11624;"ORDER SALES MIG101225"
11138;"ORDER SALES MIG100739"
13347;"ORDER SALES MIG102948"
13058;"ORDER SALES MIG102659"
15392;"ORDER SALES MIG104993"
14812;"ORDER SALES MIG104413"
14756;"ORDER SALES MIG104357"
14669;"ORDER SALES MIG104270"
14473;"ORDER SALES MIG104074"
13468;"ORDER SALES MIG103069"
12726;"ORDER SALES MIG102327"
12481;"ORDER SALES MIG102082"
11859;"ORDER SALES MIG101460"
11618;"ORDER SALES MIG101219"
15185;"ORDER SALES MIG104786"
14823;"ORDER SALES MIG104424"
13437;"ORDER SALES MIG103038"
11185;"ORDER SALES MIG100786"
14833;"ORDER SALES MIG104434"
14769;"ORDER SALES MIG104370"
14403;"ORDER SALES MIG104004"
14395;"ORDER SALES MIG103996"
13991;"ORDER SALES MIG103592"
13886;"ORDER SALES MIG103487"
13567;"ORDER SALES MIG103168"
13439;"ORDER SALES MIG103040"
12403;"ORDER SALES MIG102004"
12104;"ORDER SALES MIG101705"
11906;"ORDER SALES MIG101507"
11706;"ORDER SALES MIG101307"
11678;"ORDER SALES MIG101279"
11521;"ORDER SALES MIG101122"
11507;"ORDER SALES MIG101108"
11474;"ORDER SALES MIG101075"
11460;"ORDER SALES MIG101061"
11329;"ORDER SALES MIG100930"
11252;"ORDER SALES MIG100853"
10784;"ORDER SALES MIG100385"
15310;"ORDER SALES MIG104911"
15281;"ORDER SALES MIG104882"
14889;"ORDER SALES MIG104490"
14848;"ORDER SALES MIG104449"
14704;"ORDER SALES MIG104305"
14651;"ORDER SALES MIG104252"
14436;"ORDER SALES MIG104037"
14228;"ORDER SALES MIG103829"
14076;"ORDER SALES MIG103677"
13777;"ORDER SALES MIG103378"
13730;"ORDER SALES MIG103331"
13459;"ORDER SALES MIG103060"
13453;"ORDER SALES MIG103054"
13259;"ORDER SALES MIG102860"
13165;"ORDER SALES MIG102766"
12685;"ORDER SALES MIG102286"
12442;"ORDER SALES MIG102043"
12040;"ORDER SALES MIG101641"
12003;"ORDER SALES MIG101604"
11955;"ORDER SALES MIG101556"
11713;"ORDER SALES MIG101314"
10866;"ORDER SALES MIG100467"
10533;"ORDER SALES MIG100134"
10508;"ORDER SALES MIG100109"
14426;"ORDER SALES MIG104027"
12424;"ORDER SALES MIG102025"
13489;"ORDER SALES MIG103090"
12165;"ORDER SALES MIG101766"
15054;"ORDER SALES MIG104655"
14603;"ORDER SALES MIG104204"
14384;"ORDER SALES MIG103985"
14364;"ORDER SALES MIG103965"
14090;"ORDER SALES MIG103691"
13875;"ORDER SALES MIG103476"
13563;"ORDER SALES MIG103164"
13071;"ORDER SALES MIG102672"
11907;"ORDER SALES MIG101508"
14682;"ORDER SALES MIG104283"
14381;"ORDER SALES MIG103982"
14238;"ORDER SALES MIG103839"
14061;"ORDER SALES MIG103662"
13391;"ORDER SALES MIG102992"
13282;"ORDER SALES MIG102883"
13270;"ORDER SALES MIG102871"
12883;"ORDER SALES MIG102484"
13906;"ORDER SALES MIG103507"
12282;"ORDER SALES MIG101883"
10429;"ORDER SALES MIG100030"
15130;"ORDER SALES MIG104731"
14443;"ORDER SALES MIG104044"
13796;"ORDER SALES MIG103397"
13781;"ORDER SALES MIG103382"
13574;"ORDER SALES MIG103175"
13424;"ORDER SALES MIG103025"
13353;"ORDER SALES MIG102954"
12767;"ORDER SALES MIG102368"
12319;"ORDER SALES MIG101920"
11436;"ORDER SALES MIG101037"
11274;"ORDER SALES MIG100875"
10504;"ORDER SALES MIG100105"
15042;"ORDER SALES MIG104643"
14512;"ORDER SALES MIG104113"
14292;"ORDER SALES MIG103893"
14137;"ORDER SALES MIG103738"
13994;"ORDER SALES MIG103595"
13893;"ORDER SALES MIG103494"
13869;"ORDER SALES MIG103470"
13733;"ORDER SALES MIG103334"
13644;"ORDER SALES MIG103245"
13173;"ORDER SALES MIG102774"
12855;"ORDER SALES MIG102456"
12103;"ORDER SALES MIG101704"
11938;"ORDER SALES MIG101539"
11773;"ORDER SALES MIG101374"
11422;"ORDER SALES MIG101023"
10940;"ORDER SALES MIG100541"
10766;"ORDER SALES MIG100367"
10691;"ORDER SALES MIG100292"
13983;"ORDER SALES MIG103584"
10650;"ORDER SALES MIG100251"
10432;"ORDER SALES MIG100033"
15204;"ORDER SALES MIG104805"
14910;"ORDER SALES MIG104511"
13959;"ORDER SALES MIG103560"
13299;"ORDER SALES MIG102900"
12734;"ORDER SALES MIG102335"
12243;"ORDER SALES MIG101844"
11475;"ORDER SALES MIG101076"
11363;"ORDER SALES MIG100964"
11277;"ORDER SALES MIG100878"
12432;"ORDER SALES MIG102033"
12028;"ORDER SALES MIG101629"
10419;"ORDER SALES MIG100020"
10414;"ORDER SALES MIG100015"
14746;"ORDER SALES MIG104347"
11992;"ORDER SALES MIG101593"
11983;"ORDER SALES MIG101584"
15131;"ORDER SALES MIG104732"
14883;"ORDER SALES MIG104484"
14732;"ORDER SALES MIG104333"
14420;"ORDER SALES MIG104021"
14271;"ORDER SALES MIG103872"
