"IDE_PEDIDO","IDE_PEDIDO_EST","DES_PEDIDO","IDE_PROVEEDOR","DES_PROVEEDOR"
10424,"SO MIG100025","ORDER SALES MIG100025","FedEx","CARRIER FedEx"
10425,"SO MIG100026","ORDER SALES MIG100026","FedEx","CARRIER FedEx"
10426,"SO MIG100027","ORDER SALES MIG100027","FedEx","CARRIER FedEx"
10427,"SO MIG100028","ORDER SALES MIG100028","FedEx","CARRIER FedEx"
10428,"SO MIG100029","ORDER SALES MIG100029","FedEx","CARRIER FedEx"
10429,"SO MIG100030","ORDER SALES MIG100030","FedEx","CARRIER FedEx"
10430,"SO MIG100031","ORDER SALES MIG100031","FedEx","CARRIER FedEx"
10431,"SO MIG100032","ORDER SALES MIG100032","FedEx","CARRIER FedEx"
10432,"SO MIG100033","ORDER SALES MIG100033","FedEx","CARRIER FedEx"
10433,"SO MIG100034","ORDER SALES MIG100034","FedEx","CARRIER FedEx"
10434,"SO MIG100035","ORDER SALES MIG100035","FedEx","CARRIER FedEx"
10435,"SO MIG100036","ORDER SALES MIG100036","FedEx","CARRIER FedEx"
10436,"SO MIG100037","ORDER SALES MIG100037","FedEx","CARRIER FedEx"
10437,"SO MIG100038","ORDER SALES MIG100038","FedEx","CARRIER FedEx"
10438,"SO MIG100039","ORDER SALES MIG100039","FedEx","CARRIER FedEx"
10439,"SO MIG100040","ORDER SALES MIG100040","FedEx","CARRIER FedEx"
10440,"SO MIG100041","ORDER SALES MIG100041","FedEx","CARRIER FedEx"
10441,"SO MIG100042","ORDER SALES MIG100042","FedEx","CARRIER FedEx"
10442,"SO MIG100043","ORDER SALES MIG100043","FedEx","CARRIER FedEx"
10443,"SO MIG100044","ORDER SALES MIG100044","FedEx","CARRIER FedEx"
10444,"SO MIG100045","ORDER SALES MIG100045","FedEx","CARRIER FedEx"
10445,"SO MIG100046","ORDER SALES MIG100046","FedEx","CARRIER FedEx"
10446,"SO MIG100047","ORDER SALES MIG100047","FedEx","CARRIER FedEx"
10447,"SO MIG100048","ORDER SALES MIG100048","FedEx","CARRIER FedEx"
10448,"SO MIG100049","ORDER SALES MIG100049","FedEx","CARRIER FedEx"
10449,"SO MIG100050","ORDER SALES MIG100050","FedEx","CARRIER FedEx"
10450,"SO MIG100051","ORDER SALES MIG100051","FedEx","CARRIER FedEx"
10451,"SO MIG100052","ORDER SALES MIG100052","FedEx","CARRIER FedEx"
10452,"SO MIG100053","ORDER SALES MIG100053","FedEx","CARRIER FedEx"
10453,"SO MIG100054","ORDER SALES MIG100054","FedEx","CARRIER FedEx"
10454,"SO MIG100055","ORDER SALES MIG100055","FedEx","CARRIER FedEx"
10455,"SO MIG100056","ORDER SALES MIG100056","FedEx","CARRIER FedEx"
10456,"SO MIG100057","ORDER SALES MIG100057","FedEx","CARRIER FedEx"
10457,"SO MIG100058","ORDER SALES MIG100058","FedEx","CARRIER FedEx"
10458,"SO MIG100059","ORDER SALES MIG100059","FedEx","CARRIER FedEx"
10459,"SO MIG100060","ORDER SALES MIG100060","FedEx","CARRIER FedEx"
10460,"SO MIG100061","ORDER SALES MIG100061","FedEx","CARRIER FedEx"
10461,"SO MIG100062","ORDER SALES MIG100062","FedEx","CARRIER FedEx"
10462,"SO MIG100063","ORDER SALES MIG100063","FedEx","CARRIER FedEx"
10463,"SO MIG100064","ORDER SALES MIG100064","FedEx","CARRIER FedEx"
10464,"SO MIG100065","ORDER SALES MIG100065","FedEx","CARRIER FedEx"
10465,"SO MIG100066","ORDER SALES MIG100066","FedEx","CARRIER FedEx"
10466,"SO MIG100067","ORDER SALES MIG100067","FedEx","CARRIER FedEx"
10467,"SO MIG100068","ORDER SALES MIG100068","FedEx","CARRIER FedEx"
10468,"SO MIG100069","ORDER SALES MIG100069","FedEx","CARRIER FedEx"
10469,"SO MIG100070","ORDER SALES MIG100070","FedEx","CARRIER FedEx"
10470,"SO MIG100071","ORDER SALES MIG100071","FedEx","CARRIER FedEx"
10471,"SO MIG100072","ORDER SALES MIG100072","FedEx","CARRIER FedEx"
10472,"SO MIG100073","ORDER SALES MIG100073","FedEx","CARRIER FedEx"
10473,"SO MIG100074","ORDER SALES MIG100074","FedEx","CARRIER FedEx"
10474,"SO MIG100075","ORDER SALES MIG100075","FedEx","CARRIER FedEx"
10475,"SO MIG100076","ORDER SALES MIG100076","FedEx","CARRIER FedEx"
10476,"SO MIG100077","ORDER SALES MIG100077","FedEx","CARRIER FedEx"
10477,"SO MIG100078","ORDER SALES MIG100078","FedEx","CARRIER FedEx"
10478,"SO MIG100079","ORDER SALES MIG100079","FedEx","CARRIER FedEx"
10479,"SO MIG100080","ORDER SALES MIG100080","FedEx","CARRIER FedEx"
10480,"SO MIG100081","ORDER SALES MIG100081","FedEx","CARRIER FedEx"
10481,"SO MIG100082","ORDER SALES MIG100082","FedEx","CARRIER FedEx"
10482,"SO MIG100083","ORDER SALES MIG100083","FedEx","CARRIER FedEx"
10483,"SO MIG100084","ORDER SALES MIG100084","FedEx","CARRIER FedEx"
10484,"SO MIG100085","ORDER SALES MIG100085","FedEx","CARRIER FedEx"
10485,"SO MIG100086","ORDER SALES MIG100086","FedEx","CARRIER FedEx"
10486,"SO MIG100087","ORDER SALES MIG100087","FedEx","CARRIER FedEx"
10487,"SO MIG100088","ORDER SALES MIG100088","FedEx","CARRIER FedEx"
10488,"SO MIG100089","ORDER SALES MIG100089","FedEx","CARRIER FedEx"
10489,"SO MIG100090","ORDER SALES MIG100090","FedEx","CARRIER FedEx"
10490,"SO MIG100091","ORDER SALES MIG100091","FedEx","CARRIER FedEx"
10491,"SO MIG100092","ORDER SALES MIG100092","FedEx","CARRIER FedEx"
10492,"SO MIG100093","ORDER SALES MIG100093","FedEx","CARRIER FedEx"
10493,"SO MIG100094","ORDER SALES MIG100094","FedEx","CARRIER FedEx"
10494,"SO MIG100095","ORDER SALES MIG100095","FedEx","CARRIER FedEx"
10495,"SO MIG100096","ORDER SALES MIG100096","FedEx","CARRIER FedEx"
10496,"SO MIG100097","ORDER SALES MIG100097","FedEx","CARRIER FedEx"
10497,"SO MIG100098","ORDER SALES MIG100098","FedEx","CARRIER FedEx"
10498,"SO MIG100099","ORDER SALES MIG100099","FedEx","CARRIER FedEx"
10499,"SO MIG100100","ORDER SALES MIG100100","FedEx","CARRIER FedEx"
10500,"SO MIG100101","ORDER SALES MIG100101","FedEx","CARRIER FedEx"
10501,"SO MIG100102","ORDER SALES MIG100102","FedEx","CARRIER FedEx"
10502,"SO MIG100103","ORDER SALES MIG100103","FedEx","CARRIER FedEx"
10503,"SO MIG100104","ORDER SALES MIG100104","FedEx","CARRIER FedEx"
10504,"SO MIG100105","ORDER SALES MIG100105","FedEx","CARRIER FedEx"
10505,"SO MIG100106","ORDER SALES MIG100106","FedEx","CARRIER FedEx"
10506,"SO MIG100107","ORDER SALES MIG100107","FedEx","CARRIER FedEx"
10507,"SO MIG100108","ORDER SALES MIG100108","FedEx","CARRIER FedEx"
10508,"SO MIG100109","ORDER SALES MIG100109","FedEx","CARRIER FedEx"
10509,"SO MIG100110","ORDER SALES MIG100110","FedEx","CARRIER FedEx"
10510,"SO MIG100111","ORDER SALES MIG100111","FedEx","CARRIER FedEx"
10511,"SO MIG100112","ORDER SALES MIG100112","FedEx","CARRIER FedEx"
10512,"SO MIG100113","ORDER SALES MIG100113","FedEx","CARRIER FedEx"
10513,"SO MIG100114","ORDER SALES MIG100114","FedEx","CARRIER FedEx"
10514,"SO MIG100115","ORDER SALES MIG100115","FedEx","CARRIER FedEx"
10515,"SO MIG100116","ORDER SALES MIG100116","FedEx","CARRIER FedEx"
10516,"SO MIG100117","ORDER SALES MIG100117","FedEx","CARRIER FedEx"
10517,"SO MIG100118","ORDER SALES MIG100118","FedEx","CARRIER FedEx"
10518,"SO MIG100119","ORDER SALES MIG100119","FedEx","CARRIER FedEx"
10519,"SO MIG100120","ORDER SALES MIG100120","FedEx","CARRIER FedEx"
10520,"SO MIG100121","ORDER SALES MIG100121","FedEx","CARRIER FedEx"
10521,"SO MIG100122","ORDER SALES MIG100122","FedEx","CARRIER FedEx"
10522,"SO MIG100123","ORDER SALES MIG100123","FedEx","CARRIER FedEx"
10523,"SO MIG100124","ORDER SALES MIG100124","FedEx","CARRIER FedEx"
10524,"SO MIG100125","ORDER SALES MIG100125","FedEx","CARRIER FedEx"
10525,"SO MIG100126","ORDER SALES MIG100126","FedEx","CARRIER FedEx"
10526,"SO MIG100127","ORDER SALES MIG100127","FedEx","CARRIER FedEx"
10527,"SO MIG100128","ORDER SALES MIG100128","FedEx","CARRIER FedEx"
10528,"SO MIG100129","ORDER SALES MIG100129","FedEx","CARRIER FedEx"
10529,"SO MIG100130","ORDER SALES MIG100130","FedEx","CARRIER FedEx"
10530,"SO MIG100131","ORDER SALES MIG100131","FedEx","CARRIER FedEx"
10531,"SO MIG100132","ORDER SALES MIG100132","FedEx","CARRIER FedEx"
10532,"SO MIG100133","ORDER SALES MIG100133","FedEx","CARRIER FedEx"
10533,"SO MIG100134","ORDER SALES MIG100134","FedEx","CARRIER FedEx"
10534,"SO MIG100135","ORDER SALES MIG100135","FedEx","CARRIER FedEx"
10535,"SO MIG100136","ORDER SALES MIG100136","FedEx","CARRIER FedEx"
10536,"SO MIG100137","ORDER SALES MIG100137","FedEx","CARRIER FedEx"
10537,"SO MIG100138","ORDER SALES MIG100138","FedEx","CARRIER FedEx"
10538,"SO MIG100139","ORDER SALES MIG100139","FedEx","CARRIER FedEx"
10539,"SO MIG100140","ORDER SALES MIG100140","FedEx","CARRIER FedEx"
10540,"SO MIG100141","ORDER SALES MIG100141","FedEx","CARRIER FedEx"
10541,"SO MIG100142","ORDER SALES MIG100142","FedEx","CARRIER FedEx"
10542,"SO MIG100143","ORDER SALES MIG100143","FedEx","CARRIER FedEx"
10543,"SO MIG100144","ORDER SALES MIG100144","FedEx","CARRIER FedEx"
10544,"SO MIG100145","ORDER SALES MIG100145","FedEx","CARRIER FedEx"
10545,"SO MIG100146","ORDER SALES MIG100146","FedEx","CARRIER FedEx"
10546,"SO MIG100147","ORDER SALES MIG100147","FedEx","CARRIER FedEx"
10547,"SO MIG100148","ORDER SALES MIG100148","FedEx","CARRIER FedEx"
10548,"SO MIG100149","ORDER SALES MIG100149","FedEx","CARRIER FedEx"
10549,"SO MIG100150","ORDER SALES MIG100150","FedEx","CARRIER FedEx"
10550,"SO MIG100151","ORDER SALES MIG100151","FedEx","CARRIER FedEx"
10551,"SO MIG100152","ORDER SALES MIG100152","FedEx","CARRIER FedEx"
10552,"SO MIG100153","ORDER SALES MIG100153","FedEx","CARRIER FedEx"
10553,"SO MIG100154","ORDER SALES MIG100154","FedEx","CARRIER FedEx"
10554,"SO MIG100155","ORDER SALES MIG100155","FedEx","CARRIER FedEx"
10555,"SO MIG100156","ORDER SALES MIG100156","FedEx","CARRIER FedEx"
10556,"SO MIG100157","ORDER SALES MIG100157","FedEx","CARRIER FedEx"
10557,"SO MIG100158","ORDER SALES MIG100158","FedEx","CARRIER FedEx"
10558,"SO MIG100159","ORDER SALES MIG100159","FedEx","CARRIER FedEx"
10559,"SO MIG100160","ORDER SALES MIG100160","FedEx","CARRIER FedEx"
10560,"SO MIG100161","ORDER SALES MIG100161","FedEx","CARRIER FedEx"
10561,"SO MIG100162","ORDER SALES MIG100162","FedEx","CARRIER FedEx"
10562,"SO MIG100163","ORDER SALES MIG100163","FedEx","CARRIER FedEx"
10563,"SO MIG100164","ORDER SALES MIG100164","FedEx","CARRIER FedEx"
10564,"SO MIG100165","ORDER SALES MIG100165","FedEx","CARRIER FedEx"
10565,"SO MIG100166","ORDER SALES MIG100166","FedEx","CARRIER FedEx"
10566,"SO MIG100167","ORDER SALES MIG100167","FedEx","CARRIER FedEx"
10567,"SO MIG100168","ORDER SALES MIG100168","FedEx","CARRIER FedEx"
10568,"SO MIG100169","ORDER SALES MIG100169","FedEx","CARRIER FedEx"
10569,"SO MIG100170","ORDER SALES MIG100170","FedEx","CARRIER FedEx"
10570,"SO MIG100171","ORDER SALES MIG100171","FedEx","CARRIER FedEx"
10571,"SO MIG100172","ORDER SALES MIG100172","FedEx","CARRIER FedEx"
10572,"SO MIG100173","ORDER SALES MIG100173","FedEx","CARRIER FedEx"
10573,"SO MIG100174","ORDER SALES MIG100174","FedEx","CARRIER FedEx"
10574,"SO MIG100175","ORDER SALES MIG100175","FedEx","CARRIER FedEx"
10575,"SO MIG100176","ORDER SALES MIG100176","FedEx","CARRIER FedEx"
10576,"SO MIG100177","ORDER SALES MIG100177","FedEx","CARRIER FedEx"
10577,"SO MIG100178","ORDER SALES MIG100178","FedEx","CARRIER FedEx"
10578,"SO MIG100179","ORDER SALES MIG100179","FedEx","CARRIER FedEx"
10579,"SO MIG100180","ORDER SALES MIG100180","FedEx","CARRIER FedEx"
10580,"SO MIG100181","ORDER SALES MIG100181","FedEx","CARRIER FedEx"
10581,"SO MIG100182","ORDER SALES MIG100182","FedEx","CARRIER FedEx"
10582,"SO MIG100183","ORDER SALES MIG100183","FedEx","CARRIER FedEx"
10583,"SO MIG100184","ORDER SALES MIG100184","FedEx","CARRIER FedEx"
10584,"SO MIG100185","ORDER SALES MIG100185","FedEx","CARRIER FedEx"
10585,"SO MIG100186","ORDER SALES MIG100186","FedEx","CARRIER FedEx"
10586,"SO MIG100187","ORDER SALES MIG100187","FedEx","CARRIER FedEx"
10587,"SO MIG100188","ORDER SALES MIG100188","FedEx","CARRIER FedEx"
10588,"SO MIG100189","ORDER SALES MIG100189","FedEx","CARRIER FedEx"
10589,"SO MIG100190","ORDER SALES MIG100190","FedEx","CARRIER FedEx"
10590,"SO MIG100191","ORDER SALES MIG100191","FedEx","CARRIER FedEx"
10591,"SO MIG100192","ORDER SALES MIG100192","FedEx","CARRIER FedEx"
10592,"SO MIG100193","ORDER SALES MIG100193","FedEx","CARRIER FedEx"
10593,"SO MIG100194","ORDER SALES MIG100194","FedEx","CARRIER FedEx"
10594,"SO MIG100195","ORDER SALES MIG100195","FedEx","CARRIER FedEx"
10595,"SO MIG100196","ORDER SALES MIG100196","FedEx","CARRIER FedEx"
10596,"SO MIG100197","ORDER SALES MIG100197","FedEx","CARRIER FedEx"
10597,"SO MIG100198","ORDER SALES MIG100198","FedEx","CARRIER FedEx"
10598,"SO MIG100199","ORDER SALES MIG100199","FedEx","CARRIER FedEx"
10599,"SO MIG100200","ORDER SALES MIG100200","FedEx","CARRIER FedEx"
10600,"SO MIG100201","ORDER SALES MIG100201","FedEx","CARRIER FedEx"
10601,"SO MIG100202","ORDER SALES MIG100202","FedEx","CARRIER FedEx"
10602,"SO MIG100203","ORDER SALES MIG100203","FedEx","CARRIER FedEx"
10603,"SO MIG100204","ORDER SALES MIG100204","FedEx","CARRIER FedEx"
10604,"SO MIG100205","ORDER SALES MIG100205","FedEx","CARRIER FedEx"
10605,"SO MIG100206","ORDER SALES MIG100206","FedEx","CARRIER FedEx"
10606,"SO MIG100207","ORDER SALES MIG100207","FedEx","CARRIER FedEx"
10607,"SO MIG100208","ORDER SALES MIG100208","FedEx","CARRIER FedEx"
10608,"SO MIG100209","ORDER SALES MIG100209","FedEx","CARRIER FedEx"
10609,"SO MIG100210","ORDER SALES MIG100210","FedEx","CARRIER FedEx"
10610,"SO MIG100211","ORDER SALES MIG100211","FedEx","CARRIER FedEx"
10611,"SO MIG100212","ORDER SALES MIG100212","FedEx","CARRIER FedEx"
10612,"SO MIG100213","ORDER SALES MIG100213","FedEx","CARRIER FedEx"
10613,"SO MIG100214","ORDER SALES MIG100214","FedEx","CARRIER FedEx"
10614,"SO MIG100215","ORDER SALES MIG100215","FedEx","CARRIER FedEx"
10615,"SO MIG100216","ORDER SALES MIG100216","FedEx","CARRIER FedEx"
10616,"SO MIG100217","ORDER SALES MIG100217","FedEx","CARRIER FedEx"
10617,"SO MIG100218","ORDER SALES MIG100218","FedEx","CARRIER FedEx"
10618,"SO MIG100219","ORDER SALES MIG100219","FedEx","CARRIER FedEx"
10619,"SO MIG100220","ORDER SALES MIG100220","FedEx","CARRIER FedEx"
10620,"SO MIG100221","ORDER SALES MIG100221","FedEx","CARRIER FedEx"
10621,"SO MIG100222","ORDER SALES MIG100222","FedEx","CARRIER FedEx"
10622,"SO MIG100223","ORDER SALES MIG100223","FedEx","CARRIER FedEx"
10623,"SO MIG100224","ORDER SALES MIG100224","FedEx","CARRIER FedEx"
10624,"SO MIG100225","ORDER SALES MIG100225","FedEx","CARRIER FedEx"
10625,"SO MIG100226","ORDER SALES MIG100226","FedEx","CARRIER FedEx"
10626,"SO MIG100227","ORDER SALES MIG100227","FedEx","CARRIER FedEx"
10627,"SO MIG100228","ORDER SALES MIG100228","FedEx","CARRIER FedEx"
10628,"SO MIG100229","ORDER SALES MIG100229","FedEx","CARRIER FedEx"
10629,"SO MIG100230","ORDER SALES MIG100230","FedEx","CARRIER FedEx"
10630,"SO MIG100231","ORDER SALES MIG100231","FedEx","CARRIER FedEx"
10631,"SO MIG100232","ORDER SALES MIG100232","FedEx","CARRIER FedEx"
10632,"SO MIG100233","ORDER SALES MIG100233","FedEx","CARRIER FedEx"
10633,"SO MIG100234","ORDER SALES MIG100234","FedEx","CARRIER FedEx"
10634,"SO MIG100235","ORDER SALES MIG100235","FedEx","CARRIER FedEx"
10635,"SO MIG100236","ORDER SALES MIG100236","FedEx","CARRIER FedEx"
10636,"SO MIG100237","ORDER SALES MIG100237","FedEx","CARRIER FedEx"
10637,"SO MIG100238","ORDER SALES MIG100238","FedEx","CARRIER FedEx"
10638,"SO MIG100239","ORDER SALES MIG100239","FedEx","CARRIER FedEx"
10639,"SO MIG100240","ORDER SALES MIG100240","FedEx","CARRIER FedEx"
10640,"SO MIG100241","ORDER SALES MIG100241","FedEx","CARRIER FedEx"
10641,"SO MIG100242","ORDER SALES MIG100242","FedEx","CARRIER FedEx"
10642,"SO MIG100243","ORDER SALES MIG100243","FedEx","CARRIER FedEx"
10643,"SO MIG100244","ORDER SALES MIG100244","FedEx","CARRIER FedEx"
10644,"SO MIG100245","ORDER SALES MIG100245","FedEx","CARRIER FedEx"
10645,"SO MIG100246","ORDER SALES MIG100246","FedEx","CARRIER FedEx"
10646,"SO MIG100247","ORDER SALES MIG100247","FedEx","CARRIER FedEx"
10647,"SO MIG100248","ORDER SALES MIG100248","FedEx","CARRIER FedEx"
10648,"SO MIG100249","ORDER SALES MIG100249","FedEx","CARRIER FedEx"
10649,"SO MIG100250","ORDER SALES MIG100250","FedEx","CARRIER FedEx"
10650,"SO MIG100251","ORDER SALES MIG100251","FedEx","CARRIER FedEx"
10651,"SO MIG100252","ORDER SALES MIG100252","FedEx","CARRIER FedEx"
10652,"SO MIG100253","ORDER SALES MIG100253","FedEx","CARRIER FedEx"
10653,"SO MIG100254","ORDER SALES MIG100254","FedEx","CARRIER FedEx"
10654,"SO MIG100255","ORDER SALES MIG100255","FedEx","CARRIER FedEx"
10655,"SO MIG100256","ORDER SALES MIG100256","FedEx","CARRIER FedEx"
10656,"SO MIG100257","ORDER SALES MIG100257","FedEx","CARRIER FedEx"
10657,"SO MIG100258","ORDER SALES MIG100258","FedEx","CARRIER FedEx"
10658,"SO MIG100259","ORDER SALES MIG100259","FedEx","CARRIER FedEx"
10659,"SO MIG100260","ORDER SALES MIG100260","FedEx","CARRIER FedEx"
10660,"SO MIG100261","ORDER SALES MIG100261","FedEx","CARRIER FedEx"
10661,"SO MIG100262","ORDER SALES MIG100262","FedEx","CARRIER FedEx"
10662,"SO MIG100263","ORDER SALES MIG100263","FedEx","CARRIER FedEx"
10663,"SO MIG100264","ORDER SALES MIG100264","FedEx","CARRIER FedEx"
10664,"SO MIG100265","ORDER SALES MIG100265","FedEx","CARRIER FedEx"
10665,"SO MIG100266","ORDER SALES MIG100266","FedEx","CARRIER FedEx"
10666,"SO MIG100267","ORDER SALES MIG100267","FedEx","CARRIER FedEx"
10667,"SO MIG100268","ORDER SALES MIG100268","FedEx","CARRIER FedEx"
10668,"SO MIG100269","ORDER SALES MIG100269","FedEx","CARRIER FedEx"
10669,"SO MIG100270","ORDER SALES MIG100270","FedEx","CARRIER FedEx"
10670,"SO MIG100271","ORDER SALES MIG100271","FedEx","CARRIER FedEx"
10671,"SO MIG100272","ORDER SALES MIG100272","FedEx","CARRIER FedEx"
10672,"SO MIG100273","ORDER SALES MIG100273","FedEx","CARRIER FedEx"
10673,"SO MIG100274","ORDER SALES MIG100274","FedEx","CARRIER FedEx"
10674,"SO MIG100275","ORDER SALES MIG100275","FedEx","CARRIER FedEx"
10675,"SO MIG100276","ORDER SALES MIG100276","FedEx","CARRIER FedEx"
10676,"SO MIG100277","ORDER SALES MIG100277","FedEx","CARRIER FedEx"
10677,"SO MIG100278","ORDER SALES MIG100278","FedEx","CARRIER FedEx"
10678,"SO MIG100279","ORDER SALES MIG100279","FedEx","CARRIER FedEx"
10679,"SO MIG100280","ORDER SALES MIG100280","FedEx","CARRIER FedEx"
10680,"SO MIG100281","ORDER SALES MIG100281","FedEx","CARRIER FedEx"
10681,"SO MIG100282","ORDER SALES MIG100282","FedEx","CARRIER FedEx"
10682,"SO MIG100283","ORDER SALES MIG100283","FedEx","CARRIER FedEx"
10683,"SO MIG100284","ORDER SALES MIG100284","FedEx","CARRIER FedEx"
10684,"SO MIG100285","ORDER SALES MIG100285","FedEx","CARRIER FedEx"
10685,"SO MIG100286","ORDER SALES MIG100286","FedEx","CARRIER FedEx"
10686,"SO MIG100287","ORDER SALES MIG100287","FedEx","CARRIER FedEx"
10687,"SO MIG100288","ORDER SALES MIG100288","FedEx","CARRIER FedEx"
10688,"SO MIG100289","ORDER SALES MIG100289","FedEx","CARRIER FedEx"
10689,"SO MIG100290","ORDER SALES MIG100290","FedEx","CARRIER FedEx"
10690,"SO MIG100291","ORDER SALES MIG100291","FedEx","CARRIER FedEx"
10691,"SO MIG100292","ORDER SALES MIG100292","FedEx","CARRIER FedEx"
10692,"SO MIG100293","ORDER SALES MIG100293","FedEx","CARRIER FedEx"
10693,"SO MIG100294","ORDER SALES MIG100294","FedEx","CARRIER FedEx"
10694,"SO MIG100295","ORDER SALES MIG100295","FedEx","CARRIER FedEx"
10695,"SO MIG100296","ORDER SALES MIG100296","FedEx","CARRIER FedEx"
10696,"SO MIG100297","ORDER SALES MIG100297","FedEx","CARRIER FedEx"
10697,"SO MIG100298","ORDER SALES MIG100298","FedEx","CARRIER FedEx"
10698,"SO MIG100299","ORDER SALES MIG100299","FedEx","CARRIER FedEx"
10699,"SO MIG100300","ORDER SALES MIG100300","FedEx","CARRIER FedEx"
10700,"SO MIG100301","ORDER SALES MIG100301","FedEx","CARRIER FedEx"
10701,"SO MIG100302","ORDER SALES MIG100302","FedEx","CARRIER FedEx"
10702,"SO MIG100303","ORDER SALES MIG100303","FedEx","CARRIER FedEx"
10703,"SO MIG100304","ORDER SALES MIG100304","FedEx","CARRIER FedEx"
10704,"SO MIG100305","ORDER SALES MIG100305","FedEx","CARRIER FedEx"
10705,"SO MIG100306","ORDER SALES MIG100306","FedEx","CARRIER FedEx"
10706,"SO MIG100307","ORDER SALES MIG100307","FedEx","CARRIER FedEx"
10707,"SO MIG100308","ORDER SALES MIG100308","FedEx","CARRIER FedEx"
10708,"SO MIG100309","ORDER SALES MIG100309","FedEx","CARRIER FedEx"
10709,"SO MIG100310","ORDER SALES MIG100310","FedEx","CARRIER FedEx"
10710,"SO MIG100311","ORDER SALES MIG100311","FedEx","CARRIER FedEx"
10711,"SO MIG100312","ORDER SALES MIG100312","FedEx","CARRIER FedEx"
10712,"SO MIG100313","ORDER SALES MIG100313","FedEx","CARRIER FedEx"
10713,"SO MIG100314","ORDER SALES MIG100314","FedEx","CARRIER FedEx"
10714,"SO MIG100315","ORDER SALES MIG100315","FedEx","CARRIER FedEx"
10715,"SO MIG100316","ORDER SALES MIG100316","FedEx","CARRIER FedEx"
10716,"SO MIG100317","ORDER SALES MIG100317","FedEx","CARRIER FedEx"
10717,"SO MIG100318","ORDER SALES MIG100318","FedEx","CARRIER FedEx"
10718,"SO MIG100319","ORDER SALES MIG100319","FedEx","CARRIER FedEx"
10719,"SO MIG100320","ORDER SALES MIG100320","FedEx","CARRIER FedEx"
10720,"SO MIG100321","ORDER SALES MIG100321","FedEx","CARRIER FedEx"
10721,"SO MIG100322","ORDER SALES MIG100322","FedEx","CARRIER FedEx"
10722,"SO MIG100323","ORDER SALES MIG100323","FedEx","CARRIER FedEx"
10723,"SO MIG100324","ORDER SALES MIG100324","FedEx","CARRIER FedEx"
10724,"SO MIG100325","ORDER SALES MIG100325","FedEx","CARRIER FedEx"
10725,"SO MIG100326","ORDER SALES MIG100326","FedEx","CARRIER FedEx"
10726,"SO MIG100327","ORDER SALES MIG100327","FedEx","CARRIER FedEx"
10727,"SO MIG100328","ORDER SALES MIG100328","FedEx","CARRIER FedEx"
10728,"SO MIG100329","ORDER SALES MIG100329","FedEx","CARRIER FedEx"
10729,"SO MIG100330","ORDER SALES MIG100330","FedEx","CARRIER FedEx"
10730,"SO MIG100331","ORDER SALES MIG100331","FedEx","CARRIER FedEx"
10731,"SO MIG100332","ORDER SALES MIG100332","FedEx","CARRIER FedEx"
10732,"SO MIG100333","ORDER SALES MIG100333","FedEx","CARRIER FedEx"
10733,"SO MIG100334","ORDER SALES MIG100334","FedEx","CARRIER FedEx"
10734,"SO MIG100335","ORDER SALES MIG100335","FedEx","CARRIER FedEx"
10735,"SO MIG100336","ORDER SALES MIG100336","FedEx","CARRIER FedEx"
10736,"SO MIG100337","ORDER SALES MIG100337","FedEx","CARRIER FedEx"
10737,"SO MIG100338","ORDER SALES MIG100338","FedEx","CARRIER FedEx"
