"IDE_PEDIDO";"DES_PEDIDO"
10528;"ORDER SALES MIG100129"
10529;"ORDER SALES MIG100130"
10530;"ORDER SALES MIG100131"
10531;"ORDER SALES MIG100132"
10532;"ORDER SALES MIG100133"
10533;"ORDER SALES MIG100134"
10534;"ORDER SALES MIG100135"
10535;"ORDER SALES MIG100136"
10536;"ORDER SALES MIG100137"
10537;"ORDER SALES MIG100138"
10538;"ORDER SALES MIG100139"
10539;"ORDER SALES MIG100140"
10540;"ORDER SALES MIG100141"
10541;"ORDER SALES MIG100142"
10542;"ORDER SALES MIG100143"
10543;"ORDER SALES MIG100144"
10544;"ORDER SALES MIG100145"
10545;"ORDER SALES MIG100146"
10546;"ORDER SALES MIG100147"
10547;"ORDER SALES MIG100148"
10548;"ORDER SALES MIG100149"
10549;"ORDER SALES MIG100150"
10550;"ORDER SALES MIG100151"
10551;"ORDER SALES MIG100152"
10552;"ORDER SALES MIG100153"
10553;"ORDER SALES MIG100154"
10554;"ORDER SALES MIG100155"
10555;"ORDER SALES MIG100156"
10556;"ORDER SALES MIG100157"
10557;"ORDER SALES MIG100158"
10558;"ORDER SALES MIG100159"
10559;"ORDER SALES MIG100160"
10560;"ORDER SALES MIG100161"
10561;"ORDER SALES MIG100162"
10562;"ORDER SALES MIG100163"
10563;"ORDER SALES MIG100164"
10564;"ORDER SALES MIG100165"
10565;"ORDER SALES MIG100166"
10566;"ORDER SALES MIG100167"
10567;"ORDER SALES MIG100168"
10568;"ORDER SALES MIG100169"
10569;"ORDER SALES MIG100170"
10570;"ORDER SALES MIG100171"
10571;"ORDER SALES MIG100172"
10572;"ORDER SALES MIG100173"
10573;"ORDER SALES MIG100174"
10574;"ORDER SALES MIG100175"
10575;"ORDER SALES MIG100176"
10576;"ORDER SALES MIG100177"
10577;"ORDER SALES MIG100178"
10578;"ORDER SALES MIG100179"
10579;"ORDER SALES MIG100180"
10580;"ORDER SALES MIG100181"
10581;"ORDER SALES MIG100182"
10582;"ORDER SALES MIG100183"
10583;"ORDER SALES MIG100184"
10584;"ORDER SALES MIG100185"
10585;"ORDER SALES MIG100186"
10586;"ORDER SALES MIG100187"
10587;"ORDER SALES MIG100188"
10588;"ORDER SALES MIG100189"
10589;"ORDER SALES MIG100190"
10590;"ORDER SALES MIG100191"
10591;"ORDER SALES MIG100192"
10592;"ORDER SALES MIG100193"
10593;"ORDER SALES MIG100194"
10594;"ORDER SALES MIG100195"
10595;"ORDER SALES MIG100196"
10596;"ORDER SALES MIG100197"
10597;"ORDER SALES MIG100198"
10598;"ORDER SALES MIG100199"
10599;"ORDER SALES MIG100200"
10600;"ORDER SALES MIG100201"
10601;"ORDER SALES MIG100202"
10602;"ORDER SALES MIG100203"
10603;"ORDER SALES MIG100204"
10604;"ORDER SALES MIG100205"
10605;"ORDER SALES MIG100206"
10606;"ORDER SALES MIG100207"
10607;"ORDER SALES MIG100208"
10608;"ORDER SALES MIG100209"
10609;"ORDER SALES MIG100210"
10610;"ORDER SALES MIG100211"
10611;"ORDER SALES MIG100212"
10612;"ORDER SALES MIG100213"
10613;"ORDER SALES MIG100214"
10614;"ORDER SALES MIG100215"
10615;"ORDER SALES MIG100216"
10616;"ORDER SALES MIG100217"
10617;"ORDER SALES MIG100218"
10618;"ORDER SALES MIG100219"
10619;"ORDER SALES MIG100220"
10620;"ORDER SALES MIG100221"
10621;"ORDER SALES MIG100222"
10622;"ORDER SALES MIG100223"
10623;"ORDER SALES MIG100224"
10624;"ORDER SALES MIG100225"
10625;"ORDER SALES MIG100226"
10626;"ORDER SALES MIG100227"
10627;"ORDER SALES MIG100228"
10628;"ORDER SALES MIG100229"
10629;"ORDER SALES MIG100230"
10630;"ORDER SALES MIG100231"
10631;"ORDER SALES MIG100232"
10632;"ORDER SALES MIG100233"
10633;"ORDER SALES MIG100234"
10634;"ORDER SALES MIG100235"
10635;"ORDER SALES MIG100236"
10636;"ORDER SALES MIG100237"
10637;"ORDER SALES MIG100238"
10638;"ORDER SALES MIG100239"
10639;"ORDER SALES MIG100240"
10640;"ORDER SALES MIG100241"
10641;"ORDER SALES MIG100242"
10642;"ORDER SALES MIG100243"
10643;"ORDER SALES MIG100244"
10644;"ORDER SALES MIG100245"
10645;"ORDER SALES MIG100246"
10646;"ORDER SALES MIG100247"
10647;"ORDER SALES MIG100248"
10648;"ORDER SALES MIG100249"
10649;"ORDER SALES MIG100250"
10650;"ORDER SALES MIG100251"
10651;"ORDER SALES MIG100252"
10652;"ORDER SALES MIG100253"
10653;"ORDER SALES MIG100254"
10654;"ORDER SALES MIG100255"
10655;"ORDER SALES MIG100256"
10656;"ORDER SALES MIG100257"
10657;"ORDER SALES MIG100258"
10658;"ORDER SALES MIG100259"
10659;"ORDER SALES MIG100260"
10660;"ORDER SALES MIG100261"
10661;"ORDER SALES MIG100262"
10662;"ORDER SALES MIG100263"
10663;"ORDER SALES MIG100264"
10664;"ORDER SALES MIG100265"
10665;"ORDER SALES MIG100266"
10666;"ORDER SALES MIG100267"
10667;"ORDER SALES MIG100268"
10668;"ORDER SALES MIG100269"
10669;"ORDER SALES MIG100270"
10670;"ORDER SALES MIG100271"
10671;"ORDER SALES MIG100272"
10672;"ORDER SALES MIG100273"
10673;"ORDER SALES MIG100274"
10674;"ORDER SALES MIG100275"
10675;"ORDER SALES MIG100276"
10676;"ORDER SALES MIG100277"
10677;"ORDER SALES MIG100278"
10678;"ORDER SALES MIG100279"
10679;"ORDER SALES MIG100280"
10680;"ORDER SALES MIG100281"
10681;"ORDER SALES MIG100282"
10682;"ORDER SALES MIG100283"
10683;"ORDER SALES MIG100284"
10684;"ORDER SALES MIG100285"
10685;"ORDER SALES MIG100286"
10686;"ORDER SALES MIG100287"
10687;"ORDER SALES MIG100288"
10688;"ORDER SALES MIG100289"
10689;"ORDER SALES MIG100290"
10690;"ORDER SALES MIG100291"
10691;"ORDER SALES MIG100292"
10692;"ORDER SALES MIG100293"
10693;"ORDER SALES MIG100294"
10694;"ORDER SALES MIG100295"
10695;"ORDER SALES MIG100296"
10696;"ORDER SALES MIG100297"
10697;"ORDER SALES MIG100298"
10698;"ORDER SALES MIG100299"
10699;"ORDER SALES MIG100300"
10700;"ORDER SALES MIG100301"
10701;"ORDER SALES MIG100302"
10702;"ORDER SALES MIG100303"
10703;"ORDER SALES MIG100304"
10704;"ORDER SALES MIG100305"
10705;"ORDER SALES MIG100306"
10706;"ORDER SALES MIG100307"
10707;"ORDER SALES MIG100308"
10708;"ORDER SALES MIG100309"
10709;"ORDER SALES MIG100310"
10710;"ORDER SALES MIG100311"
10711;"ORDER SALES MIG100312"
10712;"ORDER SALES MIG100313"
10713;"ORDER SALES MIG100314"
10714;"ORDER SALES MIG100315"
10715;"ORDER SALES MIG100316"
10716;"ORDER SALES MIG100317"
10717;"ORDER SALES MIG100318"
10718;"ORDER SALES MIG100319"
10719;"ORDER SALES MIG100320"
10720;"ORDER SALES MIG100321"
10721;"ORDER SALES MIG100322"
10722;"ORDER SALES MIG100323"
10723;"ORDER SALES MIG100324"
10724;"ORDER SALES MIG100325"
10725;"ORDER SALES MIG100326"
10726;"ORDER SALES MIG100327"
10727;"ORDER SALES MIG100328"
10728;"ORDER SALES MIG100329"
10729;"ORDER SALES MIG100330"
10730;"ORDER SALES MIG100331"
10731;"ORDER SALES MIG100332"
10732;"ORDER SALES MIG100333"
10733;"ORDER SALES MIG100334"
10734;"ORDER SALES MIG100335"
10735;"ORDER SALES MIG100336"
10736;"ORDER SALES MIG100337"
10737;"ORDER SALES MIG100338"
10738;"ORDER SALES MIG100339"
10739;"ORDER SALES MIG100340"
10740;"ORDER SALES MIG100341"
10741;"ORDER SALES MIG100342"
10742;"ORDER SALES MIG100343"
10743;"ORDER SALES MIG100344"
10744;"ORDER SALES MIG100345"
10745;"ORDER SALES MIG100346"
10746;"ORDER SALES MIG100347"
10747;"ORDER SALES MIG100348"
10748;"ORDER SALES MIG100349"
10749;"ORDER SALES MIG100350"
10750;"ORDER SALES MIG100351"
10751;"ORDER SALES MIG100352"
10752;"ORDER SALES MIG100353"
10753;"ORDER SALES MIG100354"
10754;"ORDER SALES MIG100355"
10755;"ORDER SALES MIG100356"
10756;"ORDER SALES MIG100357"
10757;"ORDER SALES MIG100358"
10758;"ORDER SALES MIG100359"
10759;"ORDER SALES MIG100360"
10760;"ORDER SALES MIG100361"
10761;"ORDER SALES MIG100362"
10762;"ORDER SALES MIG100363"
10763;"ORDER SALES MIG100364"
10764;"ORDER SALES MIG100365"
10765;"ORDER SALES MIG100366"
10766;"ORDER SALES MIG100367"
10767;"ORDER SALES MIG100368"
10768;"ORDER SALES MIG100369"
10769;"ORDER SALES MIG100370"
10770;"ORDER SALES MIG100371"
10771;"ORDER SALES MIG100372"
10772;"ORDER SALES MIG100373"
10773;"ORDER SALES MIG100374"
10774;"ORDER SALES MIG100375"
10775;"ORDER SALES MIG100376"
10776;"ORDER SALES MIG100377"
10777;"ORDER SALES MIG100378"
10778;"ORDER SALES MIG100379"
10779;"ORDER SALES MIG100380"
10780;"ORDER SALES MIG100381"
10781;"ORDER SALES MIG100382"
10782;"ORDER SALES MIG100383"
10783;"ORDER SALES MIG100384"
10784;"ORDER SALES MIG100385"
10785;"ORDER SALES MIG100386"
10786;"ORDER SALES MIG100387"
10787;"ORDER SALES MIG100388"
10788;"ORDER SALES MIG100389"
10789;"ORDER SALES MIG100390"
10790;"ORDER SALES MIG100391"
10791;"ORDER SALES MIG100392"
10792;"ORDER SALES MIG100393"
10793;"ORDER SALES MIG100394"
10794;"ORDER SALES MIG100395"
10795;"ORDER SALES MIG100396"
10796;"ORDER SALES MIG100397"
10797;"ORDER SALES MIG100398"
10798;"ORDER SALES MIG100399"
10799;"ORDER SALES MIG100400"
10800;"ORDER SALES MIG100401"
10801;"ORDER SALES MIG100402"
10802;"ORDER SALES MIG100403"
10803;"ORDER SALES MIG100404"
10804;"ORDER SALES MIG100405"
10805;"ORDER SALES MIG100406"
10806;"ORDER SALES MIG100407"
10807;"ORDER SALES MIG100408"
10808;"ORDER SALES MIG100409"
10809;"ORDER SALES MIG100410"
10810;"ORDER SALES MIG100411"
10811;"ORDER SALES MIG100412"
10812;"ORDER SALES MIG100413"
10813;"ORDER SALES MIG100414"
10814;"ORDER SALES MIG100415"
10815;"ORDER SALES MIG100416"
10816;"ORDER SALES MIG100417"
10817;"ORDER SALES MIG100418"
10818;"ORDER SALES MIG100419"
10819;"ORDER SALES MIG100420"
10820;"ORDER SALES MIG100421"
10821;"ORDER SALES MIG100422"
10822;"ORDER SALES MIG100423"
10823;"ORDER SALES MIG100424"
10824;"ORDER SALES MIG100425"
10825;"ORDER SALES MIG100426"
10826;"ORDER SALES MIG100427"
10827;"ORDER SALES MIG100428"
10828;"ORDER SALES MIG100429"
10829;"ORDER SALES MIG100430"
10830;"ORDER SALES MIG100431"
10831;"ORDER SALES MIG100432"
10832;"ORDER SALES MIG100433"
10833;"ORDER SALES MIG100434"
10834;"ORDER SALES MIG100435"
10835;"ORDER SALES MIG100436"
10836;"ORDER SALES MIG100437"
10837;"ORDER SALES MIG100438"
10838;"ORDER SALES MIG100439"
10839;"ORDER SALES MIG100440"
10840;"ORDER SALES MIG100441"
10841;"ORDER SALES MIG100442"
10842;"ORDER SALES MIG100443"
10843;"ORDER SALES MIG100444"
10844;"ORDER SALES MIG100445"
10845;"ORDER SALES MIG100446"
10846;"ORDER SALES MIG100447"
10847;"ORDER SALES MIG100448"
10848;"ORDER SALES MIG100449"
10849;"ORDER SALES MIG100450"
10850;"ORDER SALES MIG100451"
10851;"ORDER SALES MIG100452"
10852;"ORDER SALES MIG100453"
10853;"ORDER SALES MIG100454"
10854;"ORDER SALES MIG100455"
10855;"ORDER SALES MIG100456"
10856;"ORDER SALES MIG100457"
10857;"ORDER SALES MIG100458"
10858;"ORDER SALES MIG100459"
10859;"ORDER SALES MIG100460"
10860;"ORDER SALES MIG100461"
10861;"ORDER SALES MIG100462"
10862;"ORDER SALES MIG100463"
10863;"ORDER SALES MIG100464"
10864;"ORDER SALES MIG100465"
10865;"ORDER SALES MIG100466"
10866;"ORDER SALES MIG100467"
10867;"ORDER SALES MIG100468"
10868;"ORDER SALES MIG100469"
10869;"ORDER SALES MIG100470"
10870;"ORDER SALES MIG100471"
10871;"ORDER SALES MIG100472"
10872;"ORDER SALES MIG100473"
10873;"ORDER SALES MIG100474"
10874;"ORDER SALES MIG100475"
10875;"ORDER SALES MIG100476"
10876;"ORDER SALES MIG100477"
10877;"ORDER SALES MIG100478"
10878;"ORDER SALES MIG100479"
10879;"ORDER SALES MIG100480"
10880;"ORDER SALES MIG100481"
10881;"ORDER SALES MIG100482"
10882;"ORDER SALES MIG100483"
10883;"ORDER SALES MIG100484"
10884;"ORDER SALES MIG100485"
10885;"ORDER SALES MIG100486"
10886;"ORDER SALES MIG100487"
10887;"ORDER SALES MIG100488"
10888;"ORDER SALES MIG100489"
10889;"ORDER SALES MIG100490"
10890;"ORDER SALES MIG100491"
10891;"ORDER SALES MIG100492"
10892;"ORDER SALES MIG100493"
10893;"ORDER SALES MIG100494"
10894;"ORDER SALES MIG100495"
10895;"ORDER SALES MIG100496"
10896;"ORDER SALES MIG100497"
10897;"ORDER SALES MIG100498"
10898;"ORDER SALES MIG100499"
10899;"ORDER SALES MIG100500"
10900;"ORDER SALES MIG100501"
10901;"ORDER SALES MIG100502"
10902;"ORDER SALES MIG100503"
10903;"ORDER SALES MIG100504"
10904;"ORDER SALES MIG100505"
10905;"ORDER SALES MIG100506"
10906;"ORDER SALES MIG100507"
10907;"ORDER SALES MIG100508"
10908;"ORDER SALES MIG100509"
10909;"ORDER SALES MIG100510"
10910;"ORDER SALES MIG100511"
10911;"ORDER SALES MIG100512"
10912;"ORDER SALES MIG100513"
10913;"ORDER SALES MIG100514"
10914;"ORDER SALES MIG100515"
10915;"ORDER SALES MIG100516"
10916;"ORDER SALES MIG100517"
10917;"ORDER SALES MIG100518"
10918;"ORDER SALES MIG100519"
10919;"ORDER SALES MIG100520"
10920;"ORDER SALES MIG100521"
10921;"ORDER SALES MIG100522"
10922;"ORDER SALES MIG100523"
10923;"ORDER SALES MIG100524"
10924;"ORDER SALES MIG100525"
10925;"ORDER SALES MIG100526"
10926;"ORDER SALES MIG100527"
10927;"ORDER SALES MIG100528"
10928;"ORDER SALES MIG100529"
10929;"ORDER SALES MIG100530"
10930;"ORDER SALES MIG100531"
10931;"ORDER SALES MIG100532"
10932;"ORDER SALES MIG100533"
10933;"ORDER SALES MIG100534"
10934;"ORDER SALES MIG100535"
10935;"ORDER SALES MIG100536"
10936;"ORDER SALES MIG100537"
10937;"ORDER SALES MIG100538"
10938;"ORDER SALES MIG100539"
10939;"ORDER SALES MIG100540"
10940;"ORDER SALES MIG100541"
10941;"ORDER SALES MIG100542"
10942;"ORDER SALES MIG100543"
10943;"ORDER SALES MIG100544"
10944;"ORDER SALES MIG100545"
10945;"ORDER SALES MIG100546"
10946;"ORDER SALES MIG100547"
10947;"ORDER SALES MIG100548"
10948;"ORDER SALES MIG100549"
10949;"ORDER SALES MIG100550"
10950;"ORDER SALES MIG100551"
10951;"ORDER SALES MIG100552"
10952;"ORDER SALES MIG100553"
10953;"ORDER SALES MIG100554"
10954;"ORDER SALES MIG100555"
10955;"ORDER SALES MIG100556"
10956;"ORDER SALES MIG100557"
10957;"ORDER SALES MIG100558"
10958;"ORDER SALES MIG100559"
10959;"ORDER SALES MIG100560"
10960;"ORDER SALES MIG100561"
10961;"ORDER SALES MIG100562"
10962;"ORDER SALES MIG100563"
10963;"ORDER SALES MIG100564"
10964;"ORDER SALES MIG100565"
10965;"ORDER SALES MIG100566"
10966;"ORDER SALES MIG100567"
10967;"ORDER SALES MIG100568"
10968;"ORDER SALES MIG100569"
10969;"ORDER SALES MIG100570"
10970;"ORDER SALES MIG100571"
10971;"ORDER SALES MIG100572"
10972;"ORDER SALES MIG100573"
10973;"ORDER SALES MIG100574"
10974;"ORDER SALES MIG100575"
10975;"ORDER SALES MIG100576"
10976;"ORDER SALES MIG100577"
10977;"ORDER SALES MIG100578"
10978;"ORDER SALES MIG100579"
10979;"ORDER SALES MIG100580"
10980;"ORDER SALES MIG100581"
10981;"ORDER SALES MIG100582"
10982;"ORDER SALES MIG100583"
10983;"ORDER SALES MIG100584"
10984;"ORDER SALES MIG100585"
10985;"ORDER SALES MIG100586"
10986;"ORDER SALES MIG100587"
10987;"ORDER SALES MIG100588"
10988;"ORDER SALES MIG100589"
10989;"ORDER SALES MIG100590"
10990;"ORDER SALES MIG100591"
10991;"ORDER SALES MIG100592"
10992;"ORDER SALES MIG100593"
10993;"ORDER SALES MIG100594"
10994;"ORDER SALES MIG100595"
10995;"ORDER SALES MIG100596"
10996;"ORDER SALES MIG100597"
10997;"ORDER SALES MIG100598"
10998;"ORDER SALES MIG100599"
10999;"ORDER SALES MIG100600"
11000;"ORDER SALES MIG100601"
11001;"ORDER SALES MIG100602"
11002;"ORDER SALES MIG100603"
11003;"ORDER SALES MIG100604"
11004;"ORDER SALES MIG100605"
11005;"ORDER SALES MIG100606"
11006;"ORDER SALES MIG100607"
11007;"ORDER SALES MIG100608"
11008;"ORDER SALES MIG100609"
11009;"ORDER SALES MIG100610"
11010;"ORDER SALES MIG100611"
11011;"ORDER SALES MIG100612"
11012;"ORDER SALES MIG100613"
11013;"ORDER SALES MIG100614"
11014;"ORDER SALES MIG100615"
11015;"ORDER SALES MIG100616"
11016;"ORDER SALES MIG100617"
11017;"ORDER SALES MIG100618"
11018;"ORDER SALES MIG100619"
11019;"ORDER SALES MIG100620"
11020;"ORDER SALES MIG100621"
11021;"ORDER SALES MIG100622"
11022;"ORDER SALES MIG100623"
11023;"ORDER SALES MIG100624"
11024;"ORDER SALES MIG100625"
11025;"ORDER SALES MIG100626"
11026;"ORDER SALES MIG100627"
11027;"ORDER SALES MIG100628"
11028;"ORDER SALES MIG100629"
11029;"ORDER SALES MIG100630"
11030;"ORDER SALES MIG100631"
11031;"ORDER SALES MIG100632"
11032;"ORDER SALES MIG100633"
11033;"ORDER SALES MIG100634"
11034;"ORDER SALES MIG100635"
11035;"ORDER SALES MIG100636"
11036;"ORDER SALES MIG100637"
11037;"ORDER SALES MIG100638"
11038;"ORDER SALES MIG100639"
11039;"ORDER SALES MIG100640"
11040;"ORDER SALES MIG100641"
11041;"ORDER SALES MIG100642"
11042;"ORDER SALES MIG100643"
11043;"ORDER SALES MIG100644"
11044;"ORDER SALES MIG100645"
11045;"ORDER SALES MIG100646"
11046;"ORDER SALES MIG100647"
11047;"ORDER SALES MIG100648"
11048;"ORDER SALES MIG100649"
11049;"ORDER SALES MIG100650"
11050;"ORDER SALES MIG100651"
11051;"ORDER SALES MIG100652"
11052;"ORDER SALES MIG100653"
11053;"ORDER SALES MIG100654"
11054;"ORDER SALES MIG100655"
11055;"ORDER SALES MIG100656"
11056;"ORDER SALES MIG100657"
11057;"ORDER SALES MIG100658"
11058;"ORDER SALES MIG100659"
11059;"ORDER SALES MIG100660"
11060;"ORDER SALES MIG100661"
11061;"ORDER SALES MIG100662"
11062;"ORDER SALES MIG100663"
11063;"ORDER SALES MIG100664"
11064;"ORDER SALES MIG100665"
11065;"ORDER SALES MIG100666"
11066;"ORDER SALES MIG100667"
11067;"ORDER SALES MIG100668"
11068;"ORDER SALES MIG100669"
11069;"ORDER SALES MIG100670"
11070;"ORDER SALES MIG100671"
11071;"ORDER SALES MIG100672"
11072;"ORDER SALES MIG100673"
11073;"ORDER SALES MIG100674"
11074;"ORDER SALES MIG100675"
11075;"ORDER SALES MIG100676"
11076;"ORDER SALES MIG100677"
11077;"ORDER SALES MIG100678"
11078;"ORDER SALES MIG100679"
11079;"ORDER SALES MIG100680"
11080;"ORDER SALES MIG100681"
11081;"ORDER SALES MIG100682"
11082;"ORDER SALES MIG100683"
11083;"ORDER SALES MIG100684"
11084;"ORDER SALES MIG100685"
11085;"ORDER SALES MIG100686"
11086;"ORDER SALES MIG100687"
11087;"ORDER SALES MIG100688"
11088;"ORDER SALES MIG100689"
11089;"ORDER SALES MIG100690"
11090;"ORDER SALES MIG100691"
11091;"ORDER SALES MIG100692"
11092;"ORDER SALES MIG100693"
11093;"ORDER SALES MIG100694"
11094;"ORDER SALES MIG100695"
11095;"ORDER SALES MIG100696"
11096;"ORDER SALES MIG100697"
11097;"ORDER SALES MIG100698"
11098;"ORDER SALES MIG100699"
11099;"ORDER SALES MIG100700"
11100;"ORDER SALES MIG100701"
11101;"ORDER SALES MIG100702"
11102;"ORDER SALES MIG100703"
11103;"ORDER SALES MIG100704"
11104;"ORDER SALES MIG100705"
11105;"ORDER SALES MIG100706"
11106;"ORDER SALES MIG100707"
11107;"ORDER SALES MIG100708"
11108;"ORDER SALES MIG100709"
11109;"ORDER SALES MIG100710"
11110;"ORDER SALES MIG100711"
11111;"ORDER SALES MIG100712"
11112;"ORDER SALES MIG100713"
11113;"ORDER SALES MIG100714"
11114;"ORDER SALES MIG100715"
11115;"ORDER SALES MIG100716"
11116;"ORDER SALES MIG100717"
11117;"ORDER SALES MIG100718"
11118;"ORDER SALES MIG100719"
11119;"ORDER SALES MIG100720"
11120;"ORDER SALES MIG100721"
11121;"ORDER SALES MIG100722"
11122;"ORDER SALES MIG100723"
11123;"ORDER SALES MIG100724"
11124;"ORDER SALES MIG100725"
11125;"ORDER SALES MIG100726"
11126;"ORDER SALES MIG100727"
11127;"ORDER SALES MIG100728"
11128;"ORDER SALES MIG100729"
11129;"ORDER SALES MIG100730"
11130;"ORDER SALES MIG100731"
11131;"ORDER SALES MIG100732"
11132;"ORDER SALES MIG100733"
11133;"ORDER SALES MIG100734"
11134;"ORDER SALES MIG100735"
11135;"ORDER SALES MIG100736"
11136;"ORDER SALES MIG100737"
11137;"ORDER SALES MIG100738"
11138;"ORDER SALES MIG100739"
11139;"ORDER SALES MIG100740"
11140;"ORDER SALES MIG100741"
11141;"ORDER SALES MIG100742"
11142;"ORDER SALES MIG100743"
11143;"ORDER SALES MIG100744"
11144;"ORDER SALES MIG100745"
11145;"ORDER SALES MIG100746"
11146;"ORDER SALES MIG100747"
11147;"ORDER SALES MIG100748"
11148;"ORDER SALES MIG100749"
11149;"ORDER SALES MIG100750"
11150;"ORDER SALES MIG100751"
11151;"ORDER SALES MIG100752"
11152;"ORDER SALES MIG100753"
11153;"ORDER SALES MIG100754"
11154;"ORDER SALES MIG100755"
11155;"ORDER SALES MIG100756"
11156;"ORDER SALES MIG100757"
11157;"ORDER SALES MIG100758"
11158;"ORDER SALES MIG100759"
11159;"ORDER SALES MIG100760"
11160;"ORDER SALES MIG100761"
11161;"ORDER SALES MIG100762"
11162;"ORDER SALES MIG100763"
11163;"ORDER SALES MIG100764"
11164;"ORDER SALES MIG100765"
11165;"ORDER SALES MIG100766"
11166;"ORDER SALES MIG100767"
11167;"ORDER SALES MIG100768"
11168;"ORDER SALES MIG100769"
11169;"ORDER SALES MIG100770"
11170;"ORDER SALES MIG100771"
11171;"ORDER SALES MIG100772"
11172;"ORDER SALES MIG100773"
11173;"ORDER SALES MIG100774"
11174;"ORDER SALES MIG100775"
