"IDE_VENTA";"IDE_PEDIDO";"IDE_CLIENTE";"IDE_FECHA";"IDE_PRODUCTO";"IDE_VENDEDOR";"NUM_UNIDADES";"NUM_PRECIO_NETO"
11998;12501;2496;"2022-07-16";"PRO17";1;1;300
11974;12233;2228;"2022-07-16";"PRO17";5;1;300
11949;12004;1999;"2022-07-16";"PRO17";1;1;300
11901;11541;1536;"2022-07-16";"PRO17";1;1;300
1557;15235;5230;"2022-07-16";"PRO11";2;2;113
1368;14572;4567;"2022-07-16";"PRO11";1;2;182
1202;13975;3970;"2022-07-16";"PRO11";1;1;83
1127;13734;3729;"2022-07-16";"PRO11";5;1;86
1030;13375;3370;"2022-07-16";"PRO11";2;2;168
998;13267;3262;"2022-07-16";"PRO11";1;4;264
743;12549;2544;"2022-07-16";"PRO11";1;3;193
426;11598;1593;"2022-07-16";"PRO11";1;1;101
339;11307;1302;"2022-07-16";"PRO11";1;2;115
309;11228;1223;"2022-07-16";"PRO11";1;1;75
166;10745;740;"2022-07-16";"PRO11";1;1;78
124;10615;610;"2022-07-16";"PRO11";3;3;249
121;10605;600;"2022-07-16";"PRO11";3;1;100
7166;15235;5230;"2022-07-16";"PRO14";1;4;40
7038;15104;5099;"2022-07-16";"PRO14";1;17;170
6514;14572;4567;"2022-07-16";"PRO14";1;1;10
6452;14510;4505;"2022-07-16";"PRO14";1;24;240
6330;14383;4378;"2022-07-16";"PRO14";1;36;360
6232;14281;4276;"2022-07-16";"PRO14";4;15;150
5967;14011;4006;"2022-07-16";"PRO14";1;9;90
5934;13975;3970;"2022-07-16";"PRO14";1;6;60
5700;13734;3729;"2022-07-16";"PRO14";1;8;80
5690;13724;3719;"2022-07-16";"PRO14";1;14;140
5345;13375;3370;"2022-07-16";"PRO14";1;15;150
5238;13267;3262;"2022-07-16";"PRO14";1;44;440
5133;13158;3153;"2022-07-16";"PRO14";1;7;70
4899;12919;2914;"2022-07-16";"PRO14";1;10;100
4566;12580;2575;"2022-07-16";"PRO14";1;16;160
4535;12549;2544;"2022-07-16";"PRO14";1;73;730
4488;12501;2496;"2022-07-16";"PRO14";1;100;1000
4233;12239;2234;"2022-07-16";"PRO14";1;13;130
4227;12233;2228;"2022-07-16";"PRO14";1;8;80
4008;12004;1999;"2022-07-16";"PRO14";1;36;360
3729;11714;1709;"2022-07-16";"PRO14";1;22;220
3614;11598;1593;"2022-07-16";"PRO14";1;7;70
3560;11544;1539;"2022-07-16";"PRO14";1;28;280
3557;11541;1536;"2022-07-16";"PRO14";1;29;290
3534;11518;1513;"2022-07-16";"PRO14";1;4;40
3331;11307;1302;"2022-07-16";"PRO14";1;3;30
3252;11228;1223;"2022-07-16";"PRO14";1;10;100
2771;10745;740;"2022-07-16";"PRO14";1;5;50
2636;10605;600;"2022-07-16";"PRO14";1;14;140
2506;10473;468;"2022-07-16";"PRO14";1;40;400
1843;12491;2486;"2022-07-17";"PRO12";1;1;120
1780;11994;1989;"2022-07-17";"PRO12";1;1;120
1652;10811;806;"2022-07-17";"PRO12";1;1;120
2300;13183;3178;"2022-07-17";"PRO13";1;1;150
8516;14501;4496;"2022-07-17";"PRO15";1;1;200
8453;14275;4270;"2022-07-17";"PRO15";1;1;200
8355;13935;3930;"2022-07-17";"PRO15";1;1;200
8124;13183;3178;"2022-07-17";"PRO15";1;1;200
7900;12375;2370;"2022-07-17";"PRO15";1;1;200
7469;10881;876;"2022-07-17";"PRO15";1;1;200
7339;10445;440;"2022-07-17";"PRO15";1;1;200
11525;14994;4989;"2022-07-17";"PRO16";1;1;180
11310;14638;4633;"2022-07-17";"PRO16";1;1;180
11237;14501;4496;"2022-07-17";"PRO16";1;1;180
11216;14461;4456;"2022-07-17";"PRO16";1;1;180
11181;14402;4397;"2022-07-17";"PRO16";1;1;180
11097;14275;4270;"2022-07-17";"PRO16";1;1;180
10913;13935;3930;"2022-07-17";"PRO16";1;1;180
10738;13627;3622;"2022-07-17";"PRO16";1;1;180
10466;13183;3178;"2022-07-17";"PRO16";1;1;180
10432;13125;3120;"2022-07-17";"PRO16";1;1;180
10256;12836;2831;"2022-07-17";"PRO16";1;1;180
10055;12491;2486;"2022-07-17";"PRO16";1;1;180
9990;12375;2370;"2022-07-17";"PRO16";1;1;180
9762;11994;1989;"2022-07-17";"PRO16";1;1;180
9621;11766;1761;"2022-07-17";"PRO16";1;1;180
9602;11734;1729;"2022-07-17";"PRO16";1;1;180
9512;11578;1573;"2022-07-17";"PRO16";1;1;180
9424;11433;1428;"2022-07-17";"PRO16";1;1;180
9411;11413;1408;"2022-07-17";"PRO16";1;1;180
9247;11132;1127;"2022-07-17";"PRO16";1;1;180
9182;11022;1017;"2022-07-17";"PRO16";1;1;180
9065;10839;834;"2022-07-17";"PRO16";1;1;180
9039;10797;792;"2022-07-17";"PRO16";1;1;180
8824;10451;446;"2022-07-17";"PRO16";1;1;180
1485;14994;4989;"2022-07-17";"PRO11";1;1;78
1484;14992;4987;"2022-07-17";"PRO11";1;2;154
1389;14638;4633;"2022-07-17";"PRO11";1;6;464
1286;14275;4270;"2022-07-17";"PRO11";1;5;381
1122;13698;3693;"2022-07-17";"PRO11";5;1;89
989;13245;3240;"2022-07-17";"PRO11";1;1;98
830;12812;2807;"2022-07-17";"PRO11";1;2;148
523;11875;1870;"2022-07-17";"PRO11";1;4;268
487;11766;1761;"2022-07-17";"PRO11";1;1;101
422;11578;1573;"2022-07-17";"PRO11";1;1;98
376;11413;1408;"2022-07-17";"PRO11";1;2;169
250;11022;1017;"2022-07-17";"PRO11";3;2;131
145;10667;662;"2022-07-17";"PRO11";3;2;138
6929;14994;4989;"2022-07-17";"PRO14";1;9;90
6927;14992;4987;"2022-07-17";"PRO14";1;8;80
6580;14638;4633;"2022-07-17";"PRO14";1;76;760
6481;14539;4534;"2022-07-17";"PRO14";1;29;290
6443;14501;4496;"2022-07-17";"PRO14";1;6;60
6406;14461;4456;"2022-07-17";"PRO14";1;18;175
6349;14402;4397;"2022-07-17";"PRO14";1;28;280
6227;14275;4270;"2022-07-17";"PRO14";4;6;60
6223;14270;4265;"2022-07-17";"PRO14";4;9;90
5895;13935;3930;"2022-07-17";"PRO14";1;12;120
5664;13698;3693;"2022-07-17";"PRO14";1;3;30
5596;13627;3622;"2022-07-17";"PRO14";1;4;40
5218;13245;3240;"2022-07-17";"PRO14";1;17;170
5157;13183;3178;"2022-07-17";"PRO14";1;10;100
5100;13125;3120;"2022-07-17";"PRO14";1;25;250
4817;12836;2831;"2022-07-17";"PRO14";1;15;150
4793;12812;2807;"2022-07-17";"PRO14";1;17;170
4478;12491;2486;"2022-07-17";"PRO14";1;20;200
4366;12375;2370;"2022-07-17";"PRO14";1;2;20
3998;11994;1989;"2022-07-17";"PRO14";1;28;280
3887;11875;1870;"2022-07-17";"PRO14";1;38;380
3780;11766;1761;"2022-07-17";"PRO14";1;3;30
3748;11734;1729;"2022-07-17";"PRO14";1;13;130
3594;11578;1573;"2022-07-17";"PRO14";1;4;40
3452;11433;1428;"2022-07-17";"PRO14";1;3;30
3432;11413;1408;"2022-07-17";"PRO14";1;21;210
3257;11233;1228;"2022-07-17";"PRO14";1;22;220
3156;11132;1127;"2022-07-17";"PRO14";1;19;190
3046;11022;1017;"2022-07-17";"PRO14";1;19;190
2906;10881;876;"2022-07-17";"PRO14";1;12;120
2865;10839;834;"2022-07-17";"PRO14";1;6;60
2837;10811;806;"2022-07-17";"PRO14";1;23;230
2823;10797;792;"2022-07-17";"PRO14";1;7;70
2694;10667;662;"2022-07-17";"PRO14";1;29;290
2564;10532;527;"2022-07-17";"PRO14";1;18;175
2485;10451;446;"2022-07-17";"PRO14";1;29;290
2479;10445;440;"2022-07-17";"PRO14";1;25;250
2052;14614;4609;"2022-07-18";"PRO12";1;1;120
1841;12484;2479;"2022-07-18";"PRO12";1;1;120
1713;11364;1359;"2022-07-18";"PRO12";1;1;120
1650;10793;788;"2022-07-18";"PRO12";1;1;120
2381;14614;4609;"2022-07-18";"PRO13";1;1;150
2232;12034;2029;"2022-07-18";"PRO13";1;1;150
2155;10793;788;"2022-07-18";"PRO13";1;1;150
2146;10662;657;"2022-07-18";"PRO13";1;1;150
8761;15318;5313;"2022-07-18";"PRO15";1;1;200
8737;15236;5231;"2022-07-18";"PRO15";1;1;200
8704;15127;5122;"2022-07-18";"PRO15";1;1;200
8700;15112;5107;"2022-07-18";"PRO15";1;1;200
8655;14962;4957;"2022-07-18";"PRO15";1;1;200
8549;14614;4609;"2022-07-18";"PRO15";1;1;200
8465;14311;4306;"2022-07-18";"PRO15";1;1;200
8112;13146;3141;"2022-07-18";"PRO15";1;1;200
8015;12772;2767;"2022-07-18";"PRO15";1;1;200
7995;12730;2725;"2022-07-18";"PRO15";1;1;200
7950;12536;2531;"2022-07-18";"PRO15";1;1;200
7815;12087;2082;"2022-07-18";"PRO15";1;1;200
7800;12034;2029;"2022-07-18";"PRO15";1;1;200
7541;11145;1140;"2022-07-18";"PRO15";1;1;200
7460;10860;855;"2022-07-18";"PRO15";1;1;200
7440;10793;788;"2022-07-18";"PRO15";1;1;200
7405;10662;657;"2022-07-18";"PRO15";1;1;200
11606;15127;5122;"2022-07-18";"PRO16";1;1;180
11596;15108;5103;"2022-07-18";"PRO16";1;1;180
11442;14861;4856;"2022-07-18";"PRO16";1;1;180
11366;14724;4719;"2022-07-18";"PRO16";1;1;180
11298;14614;4609;"2022-07-18";"PRO16";1;1;180
10892;13895;3890;"2022-07-18";"PRO16";1;1;180
10607;13394;3389;"2022-07-18";"PRO16";1;1;180
10504;13239;3234;"2022-07-18";"PRO16";1;1;180
10497;13228;3223;"2022-07-18";"PRO16";1;1;180
10444;13146;3141;"2022-07-18";"PRO16";1;1;180
10219;12772;2767;"2022-07-18";"PRO16";1;1;180
10197;12741;2736;"2022-07-18";"PRO16";1;1;180
10194;12730;2725;"2022-07-18";"PRO16";1;1;180
10050;12484;2479;"2022-07-18";"PRO16";1;1;180
9819;12087;2082;"2022-07-18";"PRO16";1;1;180
9785;12034;2029;"2022-07-18";"PRO16";1;1;180
9394;11386;1381;"2022-07-18";"PRO16";1;1;180
9381;11364;1359;"2022-07-18";"PRO16";1;1;180
9312;11244;1239;"2022-07-18";"PRO16";1;1;180
9290;11200;1195;"2022-07-18";"PRO16";1;1;180
9206;11061;1056;"2022-07-18";"PRO16";1;1;180
9078;10860;855;"2022-07-18";"PRO16";1;1;180
9037;10793;788;"2022-07-18";"PRO16";1;1;180
8953;10662;657;"2022-07-18";"PRO16";1;1;180
8941;10637;632;"2022-07-18";"PRO16";1;1;180
8851;10500;495;"2022-07-18";"PRO16";1;1;180
8813;10430;425;"2022-07-18";"PRO16";1;1;180
12000;12536;2531;"2022-07-18";"PRO17";1;1;300
11873;11341;1336;"2022-07-18";"PRO17";1;1;300
1583;15318;5313;"2022-07-18";"PRO11";1;1;110
1558;15236;5231;"2022-07-18";"PRO11";2;3;218
1415;14724;4719;"2022-07-18";"PRO11";3;1;111
1299;14311;4306;"2022-07-18";"PRO11";1;2;148
1179;13895;3890;"2022-07-18";"PRO11";5;3;192
980;13228;3223;"2022-07-18";"PRO11";4;3;230
947;13146;3141;"2022-07-18";"PRO11";1;1;95
894;12992;2987;"2022-07-18";"PRO11";4;3;245
813;12772;2767;"2022-07-18";"PRO11";1;2;153
803;12741;2736;"2022-07-18";"PRO11";1;4;289
801;12730;2725;"2022-07-18";"PRO11";1;3;242
718;12484;2479;"2022-07-18";"PRO11";1;1;101
574;12034;2029;"2022-07-18";"PRO11";1;1;104
498;11796;1791;"2022-07-18";"PRO11";1;2;158
440;11640;1635;"2022-07-18";"PRO11";1;1;101
358;11364;1359;"2022-07-18";"PRO11";1;2;157
349;11341;1336;"2022-07-18";"PRO11";1;2;140
314;11244;1239;"2022-07-18";"PRO11";1;2;127
180;10793;788;"2022-07-18";"PRO11";3;1;109
77;10430;425;"2022-07-18";"PRO11";5;2;122
7247;15318;5313;"2022-07-18";"PRO14";1;7;70
7167;15236;5231;"2022-07-18";"PRO14";1;14;140
7061;15127;5122;"2022-07-18";"PRO14";1;27;267
7046;15112;5107;"2022-07-18";"PRO14";1;9;90
7042;15108;5103;"2022-07-18";"PRO14";1;5;50
6897;14962;4957;"2022-07-18";"PRO14";1;15;150
6856;14921;4916;"2022-07-18";"PRO14";1;1;10
6798;14861;4856;"2022-07-18";"PRO14";2;19;190
6664;14724;4719;"2022-07-18";"PRO14";1;8;80
6561;14619;4614;"2022-07-18";"PRO14";1;4;40
6556;14614;4609;"2022-07-18";"PRO14";1;27;270
6531;14589;4584;"2022-07-18";"PRO14";1;17;170
6261;14311;4306;"2022-07-18";"PRO14";1;8;80
5857;13895;3890;"2022-07-18";"PRO14";1;18;180
5364;13394;3389;"2022-07-18";"PRO14";1;10;100
5202;13228;3223;"2022-07-18";"PRO14";1;7;70
5121;13146;3141;"2022-07-18";"PRO14";1;21;210
4998;13021;3016;"2022-07-18";"PRO14";1;25;250
4970;12992;2987;"2022-07-18";"PRO14";1;7;70
4753;12772;2767;"2022-07-18";"PRO14";1;28;280
4723;12741;2736;"2022-07-18";"PRO14";1;15;150
4712;12730;2725;"2022-07-18";"PRO14";1;18;180
4561;12575;2570;"2022-07-18";"PRO14";1;33;330
4522;12536;2531;"2022-07-18";"PRO14";1;12;120
4514;12528;2523;"2022-07-18";"PRO14";1;11;110
4471;12484;2479;"2022-07-18";"PRO14";1;10;100
4086;12087;2082;"2022-07-18";"PRO14";1;20;200
4037;12034;2029;"2022-07-18";"PRO14";1;13;130
3809;11796;1791;"2022-07-18";"PRO14";1;3;30
3656;11640;1635;"2022-07-18";"PRO14";1;8;80
3464;11445;1440;"2022-07-18";"PRO14";1;40;400
3408;11386;1381;"2022-07-18";"PRO14";1;49;490
3386;11364;1359;"2022-07-18";"PRO14";1;23;230
3364;11341;1336;"2022-07-18";"PRO14";1;44;440
3268;11244;1239;"2022-07-18";"PRO14";1;8;80
3224;11200;1195;"2022-07-18";"PRO14";1;60;600
3169;11145;1140;"2022-07-18";"PRO14";1;11;110
3085;11061;1056;"2022-07-18";"PRO14";1;28;280
2885;10860;855;"2022-07-18";"PRO14";1;21;210
2819;10793;788;"2022-07-18";"PRO14";1;1;10
2689;10662;657;"2022-07-18";"PRO14";1;3;30
2666;10637;632;"2022-07-18";"PRO14";1;18;180
2533;10500;495;"2022-07-18";"PRO14";1;12;120
2464;10430;425;"2022-07-18";"PRO14";1;12;120
1845;12535;2530;"2022-07-19";"PRO12";1;1;120
1733;11536;1531;"2022-07-19";"PRO12";1;1;120
1619;10460;455;"2022-07-19";"PRO12";1;1;120
8751;15284;5279;"2022-07-19";"PRO15";1;1;200
8617;14842;4837;"2022-07-19";"PRO15";1;1;200
8310;13802;3797;"2022-07-19";"PRO15";1;1;200
8039;12841;2836;"2022-07-19";"PRO15";1;1;200
7969;12614;2609;"2022-07-19";"PRO15";1;1;200
7942;12503;2498;"2022-07-19";"PRO15";1;1;200
7887;12321;2316;"2022-07-19";"PRO15";1;1;200
7861;12223;2218;"2022-07-19";"PRO15";1;1;200
7790;11986;1981;"2022-07-19";"PRO15";1;1;200
7689;11655;1650;"2022-07-19";"PRO15";1;1;200
7676;11609;1604;"2022-07-19";"PRO15";1;1;200
7638;11498;1493;"2022-07-19";"PRO15";1;1;200
7547;11164;1159;"2022-07-19";"PRO15";1;1;200
7363;10542;537;"2022-07-19";"PRO15";1;1;200
7359;10535;530;"2022-07-19";"PRO15";1;1;200
11704;15284;5279;"2022-07-19";"PRO16";1;1;180
11658;15210;5205;"2022-07-19";"PRO16";1;1;180
11359;14712;4707;"2022-07-19";"PRO16";1;1;180
11255;14537;4532;"2022-07-19";"PRO16";1;1;180
11188;14412;4407;"2022-07-19";"PRO16";1;1;180
10841;13803;3798;"2022-07-19";"PRO16";1;1;180
10840;13802;3797;"2022-07-19";"PRO16";1;1;180
10781;13700;3695;"2022-07-19";"PRO16";1;1;180
10747;13642;3637;"2022-07-19";"PRO16";1;1;180
10729;13614;3609;"2022-07-19";"PRO16";1;1;180
10708;13568;3563;"2022-07-19";"PRO16";1;1;180
10705;13562;3557;"2022-07-19";"PRO16";1;1;180
10641;13448;3443;"2022-07-19";"PRO16";1;1;180
10575;13338;3333;"2022-07-19";"PRO16";1;1;180
10573;13336;3331;"2022-07-19";"PRO16";1;1;180
10451;13160;3155;"2022-07-19";"PRO16";1;1;180
10257;12841;2836;"2022-07-19";"PRO16";1;1;180
10119;12614;2609;"2022-07-19";"PRO16";1;1;180
10061;12503;2498;"2022-07-19";"PRO16";1;1;180
10015;12421;2416;"2022-07-19";"PRO16";1;1;180
10001;12397;2392;"2022-07-19";"PRO16";1;1;180
9955;12321;2316;"2022-07-19";"PRO16";1;1;180
9900;12223;2218;"2022-07-19";"PRO16";1;1;180
9872;12185;2180;"2022-07-19";"PRO16";1;1;180
9699;11888;1883;"2022-07-19";"PRO16";1;1;180
9559;11655;1650;"2022-07-19";"PRO16";1;1;180
9487;11536;1531;"2022-07-19";"PRO16";1;1;180
9464;11498;1493;"2022-07-19";"PRO16";1;1;180
9264;11156;1151;"2022-07-19";"PRO16";1;1;180
9250;11135;1130;"2022-07-19";"PRO16";1;1;180
9183;11023;1018;"2022-07-19";"PRO16";1;1;180
9014;10757;752;"2022-07-19";"PRO16";1;1;180
8876;10535;530;"2022-07-19";"PRO16";1;1;180
8869;10525;520;"2022-07-19";"PRO16";1;1;180
8842;10487;482;"2022-07-19";"PRO16";1;1;180
8829;10460;455;"2022-07-19";"PRO16";1;1;180
12130;13803;3798;"2022-07-19";"PRO17";1;1;300
11989;12421;2416;"2022-07-19";"PRO17";1;1;300
1550;15219;5214;"2022-07-19";"PRO11";2;2;179
1547;15210;5205;"2022-07-19";"PRO11";2;1;96
1450;14842;4837;"2022-07-19";"PRO11";2;1;83
1058;13448;3443;"2022-07-19";"PRO11";1;1;103
839;12841;2836;"2022-07-19";"PRO11";1;2;186
767;12614;2609;"2022-07-19";"PRO11";1;2;146
689;12385;2380;"2022-07-19";"PRO11";1;1;79
670;12321;2316;"2022-07-19";"PRO11";1;3;245
528;11888;1883;"2022-07-19";"PRO11";1;2;174
445;11655;1650;"2022-07-19";"PRO11";1;2;185
430;11609;1604;"2022-07-19";"PRO11";1;3;228
322;11263;1258;"2022-07-19";"PRO11";1;4;265
295;11164;1159;"2022-07-19";"PRO11";2;4;314
251;11023;1018;"2022-07-19";"PRO11";3;1;78
170;10757;752;"2022-07-19";"PRO11";1;1;81
7214;15284;5279;"2022-07-19";"PRO14";1;22;220
7151;15219;5214;"2022-07-19";"PRO14";1;9;90
7142;15210;5205;"2022-07-19";"PRO14";1;3;30
6779;14842;4837;"2022-07-19";"PRO14";1;36;360
6652;14712;4707;"2022-07-19";"PRO14";1;28;280
6479;14537;4532;"2022-07-19";"PRO14";1;11;110
6359;14412;4407;"2022-07-19";"PRO14";1;6;60
6066;14112;4107;"2022-07-19";"PRO14";1;6;60
5912;13953;3948;"2022-07-19";"PRO14";1;70;700
5882;13920;3915;"2022-07-19";"PRO14";1;13;130
5859;13897;3892;"2022-07-19";"PRO14";1;3;30
5767;13803;3798;"2022-07-19";"PRO14";1;37;370
5666;13700;3695;"2022-07-19";"PRO14";1;19;190
5610;13642;3637;"2022-07-19";"PRO14";1;20;200
5583;13614;3609;"2022-07-19";"PRO14";1;1;10
5537;13568;3563;"2022-07-19";"PRO14";1;17;170
5532;13562;3557;"2022-07-19";"PRO14";1;8;80
5418;13448;3443;"2022-07-19";"PRO14";1;8;80
5309;13338;3333;"2022-07-19";"PRO14";1;26;260
5307;13336;3331;"2022-07-19";"PRO14";1;20;200
5135;13160;3155;"2022-07-19";"PRO14";1;23;230
4822;12841;2836;"2022-07-19";"PRO14";1;3;30
4598;12614;2609;"2022-07-19";"PRO14";1;8;80
4597;12613;2608;"2022-07-19";"PRO14";1;8;80
4521;12535;2530;"2022-07-19";"PRO14";1;8;75
4490;12503;2498;"2022-07-19";"PRO14";1;65;650
4411;12421;2416;"2022-07-19";"PRO14";1;48;480
4388;12397;2392;"2022-07-19";"PRO14";1;18;180
4376;12385;2380;"2022-07-19";"PRO14";1;4;40
4314;12321;2316;"2022-07-19";"PRO14";1;8;80
4182;12185;2180;"2022-07-19";"PRO14";1;45;450
3990;11986;1981;"2022-07-19";"PRO14";1;23;230
3898;11888;1883;"2022-07-19";"PRO14";1;3;30
3670;11655;1650;"2022-07-19";"PRO14";1;16;160
3625;11609;1604;"2022-07-19";"PRO14";1;27;270
3552;11536;1531;"2022-07-19";"PRO14";1;15;150
3287;11263;1258;"2022-07-19";"PRO14";1;16;160
3188;11164;1159;"2022-07-19";"PRO14";1;17;170
3180;11156;1151;"2022-07-19";"PRO14";1;13;130
3159;11135;1130;"2022-07-19";"PRO14";1;22;220
3047;11023;1018;"2022-07-19";"PRO14";1;3;30
2824;10798;793;"2022-07-19";"PRO14";1;4;40
2783;10757;752;"2022-07-19";"PRO14";1;20;200
2574;10542;537;"2022-07-19";"PRO14";1;21;210
2567;10535;530;"2022-07-19";"PRO14";1;21;210
2558;10525;520;"2022-07-19";"PRO14";1;5;50
2520;10487;482;"2022-07-19";"PRO14";1;11;110
2494;10460;455;"2022-07-19";"PRO14";1;17;170
2001;14098;4093;"2022-07-20";"PRO12";5;1;120
1850;12557;2552;"2022-07-20";"PRO12";1;1;120
1848;12544;2539;"2022-07-20";"PRO12";1;1;120
1658;10863;858;"2022-07-20";"PRO12";1;1;120
2369;14386;4381;"2022-07-20";"PRO13";1;1;150
2352;14098;4093;"2022-07-20";"PRO13";1;1;150
2267;12544;2539;"2022-07-20";"PRO13";1;1;150
2160;10863;858;"2022-07-20";"PRO13";1;1;150
8765;15322;5317;"2022-07-20";"PRO15";1;1;200
8621;14849;4844;"2022-07-20";"PRO15";1;1;200
8496;14415;4410;"2022-07-20";"PRO15";1;1;200
8484;14386;4381;"2022-07-20";"PRO15";1;1;200
8402;14098;4093;"2022-07-20";"PRO15";1;1;200
8321;13824;3819;"2022-07-20";"PRO15";1;1;200
8044;12851;2846;"2022-07-20";"PRO15";1;1;200
7637;11497;1492;"2022-07-20";"PRO15";1;1;200
7485;10943;938;"2022-07-20";"PRO15";1;1;200
7455;10844;839;"2022-07-20";"PRO15";1;1;200
7428;10752;747;"2022-07-20";"PRO15";1;1;200
7338;10444;439;"2022-07-20";"PRO15";1;1;200
11731;15322;5317;"2022-07-20";"PRO16";1;1;180
11691;15263;5258;"2022-07-20";"PRO16";1;1;180
11649;15192;5187;"2022-07-20";"PRO16";1;1;180
11261;14548;4543;"2022-07-20";"PRO16";1;1;180
11173;14386;4381;"2022-07-20";"PRO16";1;1;180
11142;14344;4339;"2022-07-20";"PRO16";1;1;180
10993;14098;4093;"2022-07-20";"PRO16";1;1;180
10973;14049;4044;"2022-07-20";"PRO16";1;1;180
10966;14037;4032;"2022-07-20";"PRO16";1;1;180
10906;13916;3911;"2022-07-20";"PRO16";1;1;180
10889;13883;3878;"2022-07-20";"PRO16";1;1;180
10888;13881;3876;"2022-07-20";"PRO16";1;1;180
10852;13824;3819;"2022-07-20";"PRO16";1;1;180
10265;12851;2846;"2022-07-20";"PRO16";1;1;180
10246;12821;2816;"2022-07-20";"PRO16";1;1;180
10118;12612;2607;"2022-07-20";"PRO16";1;1;180
10080;12544;2539;"2022-07-20";"PRO16";1;1;180
10065;12511;2506;"2022-07-20";"PRO16";1;1;180
9981;12355;2350;"2022-07-20";"PRO16";1;1;180
9970;12340;2335;"2022-07-20";"PRO16";1;1;180
9949;12308;2303;"2022-07-20";"PRO16";1;1;180
9843;12128;2123;"2022-07-20";"PRO16";1;1;180
9840;12124;2119;"2022-07-20";"PRO16";1;1;180
9465;11499;1494;"2022-07-20";"PRO16";1;1;180
9244;11127;1122;"2022-07-20";"PRO16";1;1;180
9080;10863;858;"2022-07-20";"PRO16";1;1;180
9069;10844;839;"2022-07-20";"PRO16";1;1;180
8820;10444;439;"2022-07-20";"PRO16";1;1;180
12179;14386;4381;"2022-07-20";"PRO17";1;1;300
12001;12544;2539;"2022-07-20";"PRO17";1;1;300
11997;12495;2490;"2022-07-20";"PRO17";1;1;300
11895;11497;1492;"2022-07-20";"PRO17";1;1;300
11830;10863;858;"2022-07-20";"PRO17";1;1;300
1567;15263;5258;"2022-07-20";"PRO11";2;2;142
1539;15192;5187;"2022-07-20";"PRO11";2;2;130
1258;14170;4165;"2022-07-20";"PRO11";3;1;79
1247;14132;4127;"2022-07-20";"PRO11";1;1;95
1223;14037;4032;"2022-07-20";"PRO11";3;3;242
1186;13916;3911;"2022-07-20";"PRO11";1;2;148
1185;13915;3910;"2022-07-20";"PRO11";1;7;508
1150;13804;3799;"2022-07-20";"PRO11";1;1;101
1046;13425;3420;"2022-07-20";"PRO11";2;5;344
842;12851;2846;"2022-07-20";"PRO11";1;3;208
746;12557;2552;"2022-07-20";"PRO11";1;1;78
663;12308;2303;"2022-07-20";"PRO11";1;1;112
403;11497;1492;"2022-07-20";"PRO11";1;2;184
226;10943;938;"2022-07-20";"PRO11";1;1;90
7251;15322;5317;"2022-07-20";"PRO14";1;3;30
7193;15263;5258;"2022-07-20";"PRO14";1;8;80
7125;15192;5187;"2022-07-20";"PRO14";1;10;100
6786;14849;4844;"2022-07-20";"PRO14";1;2;20
6568;14626;4621;"2022-07-20";"PRO14";1;18;180
6490;14548;4543;"2022-07-20";"PRO14";1;20;200
6362;14415;4410;"2022-07-20";"PRO14";1;20;200
6333;14386;4381;"2022-07-20";"PRO14";1;26;260
6292;14344;4339;"2022-07-20";"PRO14";1;14;140
6124;14170;4165;"2022-07-20";"PRO14";1;23;233
6086;14132;4127;"2022-07-20";"PRO14";1;9;90
6052;14098;4093;"2022-07-20";"PRO14";1;5;50
